Gene_Name,Mouse,Genotype,zygosity,Sex,Assay_Date,Colony_Prefix,Total_T_cells_-_%_of_CD45+,Ly6C+_CD5+_T_cells_-_%_of_CD5+_T_cells,Total_ab_T_cells_-_%_of_total_T_cells,Total_CD4+_T_cells_-_%_of_ab_T_cells,CD4+_T_helper_cells_-_%_of_CD4+,Effector_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Resting_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,KLRG1+_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Total_Treg_cells_-_%_of_CD4+,Effector_Treg_cells_-_%_of_Treg,Resting_Treg_cells_-_%_of_Treg,KLRG1+_Treg_cells_-_%_of_Treg,Total_CD8+_T_cells_-_%_of_ab_T_cells,Effector_CD8+_T_cells_-_%_of_CD8+,Resting_CD8+_T_cells_-_%_of_CD8+,Naive_CD8+_T_cells_-_%_of_CD8+,KLRG1+_CD8+_T_cells_-_%_of_CD8+,Total_gd_T_cells_-_%_of_total_T_cells,CD5+_gd_T_cells_-_%_of_gd_T_cells,Effector_gd_T_cells_-_%_of_gd_T_cells,Resting_gd_T_cells_-_%_of_gd_T_cells,KLRG1+_gd_T_cells_-_%_of_gd_T_cells,Total_NKT_cells_-_%_of_CD45+,Ly6C+_NKT_cells_-_%_of_NKT_cells,Total_CD4-_NKT_cells_-_%_of_NKT_cells,Effector_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Resting_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,KLRG1+_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Total_CD4+_NKT_cells_-_%_of_NKT_cells,Effector_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Resting_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,KLRG1+_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Total_NK_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_NK_cells,Resting_NK_cells_-_%_of_NK_cells,KLRG1+_NK_cells_-_%_of_NK_cells,Immature_NK_cells_-_%_of_NK_cells,Ly6C+_immature_NK_cells_-_%_of_immature_NK_cells,Mature_NK_cells_-_%_of_NK_cellls,Ly6C+_mature_NK_cells_-_%_of_mature_NK_cells,Total_B_cells_-_%_of_CD45+,B1a_cells_-_%_of_B_cells,Total_B2_cells_-_%_of_B_cells,Marginal_zone_B_cells_-_%_of_B2_cells,Marginal_zone_precursor_B_cells_-_%_of_B2_cells,Transitional_1_B_cells_-_%_of_B2_cells,Transitional_2_B_cells_-_%_of_B2_cells,Follicular_B_cells_-_%_of_B2_cells,Germinal_centre_B_cells_-_%_of_B2_cells,Early_germinal_centre_B_cells_-_%_of_B2_cells,Late_germinal_centre_B_cells_-_%_of_B2_cells,Plasma_cells_-_%_of_B2_cells,Memory_B_cells_-_%_of_B2_cells,B2_marginal_zone_+_precursor_cells_-_%_of_B2_cells,B2_t1_+_t2_cells_-_%_of_B2_cells,B2_t3_+_f1_+_f2_+_gc_cells_-_%_of_B2_cells,Total_myeloid_cells_-_%_of_CD45+,Macrophages_-_%_of_myeloid_cells,Granulocytes_+_monocytes_-_%_of_myeloid_cells,Granulocytes_-_%_of_myeloid_cells,Monocytes_-_%_of_myeloid_cells,Eosinophils_-_%_of_myeloid_cells,Total_DC_-_%_of_myeloid_cells,Plasmacytoid_DC_-_%_of_DC,Conventional_DC_(cDC)_-_%_of_DC,Conventional_CD11b_type_DC_-_%_of_cDC,Conventional_CD8a_type_DC_-_%_of_cDC,CD103+_CD8a_type_DC_-_%_of_CD8_type_cDC,Ly6C+_CD5+_T_cells_-_%_of_lymphocytes,Total_ab_T_cells_-_%_of_CD45+,Total_CD4+_T_cells_-_%_of_CD45+,CD4+_T_helper_cells_-_%_of_CD45+,Effector_CD4+_T_helper_cells_-_%_of_CD45+,Resting_CD4+_T_helper_cells_-_%_of_CD45+,KLRG1+_CD4+_T_helper_cells_-_%_of_CD45+,Total_Treg_cells_-_%_of_CD45+,Effector_Treg_cells_-_%_of_CD45+,Resting_Treg_cells_-_%_of_CD45+,KLRG1+_Treg_cells_-_%_of_CD45+,Total_CD8+_T_cells_-_%_of_CD45+,Effector_CD8+_T_cells_-_%_of_CD45+,Resting_CD8+_T_cells_-_%_of_CD45+,Naive_CD8+_T_cells_-_%_of_CD45+,KLRG1+_CD8+_T_cells_-_%_of_CD45+,Total_gd_T_cells_-_%_of_CD45+,CD5+_gd_T_cells_-_%_of_CD45+,Effector_gd_T_cells_-_%_of_CD45+,Resting_gd_T_cells_-_%_of_CD45+,KLRG1+_gd_T_cells_-_%_of_CD45+,Ly6C+_NKT_cells_-_%_of_lymphocytes,Total_CD4-_NKT_cells_-_%_of_CD45+,Effector_CD4-_NKT_cells_-_%_of_CD45+,Resting_CD4-_NKT_cells_-_%_of_CD45+,KLRG1+_CD4-_NKT_cells_-_%_of_CD45+,Total_CD4+_NKT_cells_-_%_of_CD45+,Effector_CD4+_NKT_cells_-_%_of_CD45+,Resting_CD4+_NKT_cells_-_%_of_CD45+,KLRG1+_CD4+_NKT_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_CD45+,Resting_NK_cells_-_%_of_CD45+,KLRG1+_NK_cells_-_%_of_CD45+,Immature_NK_cells_-_%_of_lymphocytes,Ly6C+_immature_NK_cells_-_%_of_lymphocytes,Mature_NK_cells_-_%_of_lymphocytes,Ly6C+_mature_NK_cells_-_%_of_lymphocytes,B1a_cells_-_%_of_CD45+,Total_B2_cells_-_%_of_CD45+,Marginal_zone_B_cells_-_%_of_CD45+,Marginal_zone_precursor_B_cells_-_%_of_CD45+,Transitional_1_B_cells_-_%_of_CD45+,Transitional_2_B_cells_-_%_of_CD45+,Follicular_B_cells_-_%_of_CD45+,Germinal_centre_B_cells_-_%_of_CD45+,Early_germinal_centre_B_cells_-_%_of_CD45+,Late_germinal_centre_B_cells_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,Memory_B_cells_-_%_of_CD45+,B2_marginal_zone_+_precursor_cells_-_%_of_lymphocytes,B2_t1_+_t2_cells_-_%_of_lymphocytes,B2_t3_+_f1+_f2_+_gc_cells_-_%_of_lymphocytes,Macrophages_-_%_of_CD45+,Granulocytes_+_monocytes_-_%_of_CD45+,Granulocytes_-_%_of_CD45+,Monocytes_-_%_of_CD45+,Eosinophils_-_%_of_CD45+,Total_DC_-_%_of_CD45+,Plasmacytoid_DC_-_%_of_CD45+,Conventional_DC_-_%_of_CD45+,Conventional_CD11b_type_DC_-_%_of_CD45+,Conventional_CD8a_type_DC_-_%_of_CD45+,CD103+_CD8a_type_DC_-_%_of_CD45+
Slc16a4,M02352361,Slc16a4:Hom,Hom,Female,2016-05-26,MELU,28.705,NA,95.788,60.384,88.252,NA,NA,1.479,11.899,NA,NA,11.422,39.034,NA,NA,NA,1.118,4.212,50.096,40.171,56.879,0.138,0.966,NA,41.042,29.857,69.975,2.691,58.958,71.253,28.571,9.602,1.775,30.567,69.715,40.575,38.306,NA,61.694,NA,58.269,2.418,97.582,3.752,3.466,6.317,3.495,82.158,0.963,99.939,0.061,0.378,0.006,7.328,NA,NA,6.818,10.188,31.788,17.298,14.49,14.596,28.822,20.264,79.736,65.304,33.392,12.972,9.67,27.496,16.603,14.652,5.606,8.929,0.217,1.976,0.91,1.042,0.226,10.733,1.082,1.817,6.793,0.12,1.209,0.606,0.486,0.688,0.002,NA,0.396,0.118,0.277,0.011,0.569,0.406,0.163,0.055,0.543,1.238,0.72,0.95,NA,1.53,0.39,1.409,56.86,2.133,1.971,3.592,1.987,46.715,0.548,0.548,0,0.215,0.004,4.35,NA,NA,0.695,2.167,1.179,0.988,0.995,1.965,0.398,1.567,1.023,0.523,0.068
Chil4,M02352907,Chil4(b):Hom,Hom,Male,2016-05-26,PMDN,26.457,37.581,96.181,60.459,90.172,21.954,77.777,0.932,9.964,33.877,65.666,8.437,39.127,2.678,17.576,77.891,0.459,3.819,40.812,35.401,63.939,0.231,0.754,36.209,54.642,18.366,81.553,1.375,45.358,71.442,28.363,4.873,2.371,14.619,85.437,34.06,32.605,21.415,67.395,30.733,57.846,2.084,97.916,3.947,4.81,7.523,4.303,78.611,0.923,100,0,0.262,0.007,7.315,11.977,80.417,7.615,12.365,29.031,14.473,14.559,13.319,27.165,20.378,79.622,65.61,33.319,12.791,11.015,25.447,15.385,13.873,3.046,10.79,0.129,1.533,0.519,1.007,0.129,9.957,0.267,1.75,7.755,0.046,1.01,0.412,0.358,0.646,0.002,0.404,0.412,0.076,0.336,0.006,0.342,0.244,0.097,0.017,0.347,2.026,0.808,1.065,0.228,2.201,0.676,1.205,56.641,2.235,2.724,4.261,2.437,44.526,0.523,0.523,0,0.148,0.004,4.18,6.844,45.952,0.942,2.211,1.102,1.109,1.014,2.069,0.422,1.647,1.081,0.549,0.07
Macrod1,M02354181,Macrod1:Hom,Hom,Female,2016-05-26,DAAU,28.603,NA,96.065,56.681,87.555,31.279,68.467,1.452,12.493,39.541,60.254,10.588,42.796,9.011,24.534,61.361,0.899,3.935,44.211,42.849,55.76,0.267,1.217,NA,37.425,25.769,74.012,1.903,62.575,80.123,19.877,7.706,2.185,28.807,71.376,40.8,40.156,19.808,59.844,NA,54.096,3.018,96.982,5.864,6.195,4.204,1.895,80.952,0.787,99.919,0.081,0.602,0.004,9.436,NA,NA,7.503,7.764,27.877,13.827,14.051,13.967,34.742,18.644,81.356,67.58,30.54,12.372,NA,27.478,15.575,13.636,4.265,9.336,0.198,1.946,0.769,1.172,0.206,11.759,1.06,2.885,7.216,0.106,1.126,0.498,0.482,0.628,0.003,NA,0.455,0.117,0.337,0.009,0.761,0.61,0.151,0.059,0.629,1.559,0.891,1.183,0.234,1.763,NA,1.633,52.463,3.076,3.25,2.206,0.994,42.47,0.413,0.413,0,0.316,0.002,4.867,NA,NA,0.583,2.092,1.037,1.054,1.048,2.607,0.486,2.121,1.433,0.648,0.08
Ccdc6,M02354519,Ccdc6:Het,Het,Male,2016-05-26,DACB,26.685,42.664,95.619,54.663,89.774,20.128,79.864,1.246,10.393,36.445,63.302,8.439,44.918,2.978,27.792,68.273,0.509,4.381,46.507,32.963,65.897,0.399,0.824,45.009,59.692,18.78,81.085,2.373,40.308,61.446,38.253,9.94,2.623,17.776,82.274,34.994,27.085,19.834,72.915,28.171,58.154,2.152,97.848,3.723,5.328,6.931,4.064,79.331,0.682,99.914,0.086,0.289,0.011,6.49,10.843,82.593,6.769,9.192,29.076,15.713,13.363,10.585,31.177,17.115,82.885,65.315,33.78,9.79,12.388,25.516,13.948,12.522,2.52,10,0.156,1.45,0.528,0.918,0.122,11.461,0.341,3.185,7.825,0.058,1.169,0.544,0.385,0.77,0.005,0.496,0.492,0.092,0.399,0.012,0.332,0.204,0.127,0.033,0.466,2.158,0.918,0.924,0.183,2.488,0.701,1.252,56.903,2.118,3.032,3.944,2.312,45.142,0.388,0.388,0,0.165,0.006,3.745,6.256,47.656,0.622,1.968,1.064,0.904,0.716,2.11,0.361,1.749,1.142,0.591,0.058
Ccdc6,M02354523,Ccdc6:Het,Het,Female,2016-05-26,DACB,27.777,35.724,95.006,54.654,90.148,24.023,75.761,1.154,9.859,40.108,59.423,12.307,44.946,4.434,17.845,73.787,0.638,4.994,53.412,33.542,64.368,0.072,1.14,41.454,52.31,28.731,71.101,2.459,47.69,82.649,17.106,5.518,2.809,19.649,80.553,44.423,26.363,24.739,73.637,34.146,54.246,2.639,97.361,5.711,5.771,4.662,2.956,79.981,0.884,100,0,0.529,0.006,9.825,7.378,83.18,7.647,10.324,36.109,24.638,11.471,13.957,24.112,21.759,78.241,60.368,38.687,10.52,10.879,26.39,14.423,13.002,3.124,9.851,0.15,1.422,0.57,0.845,0.175,11.861,0.526,2.117,8.752,0.076,1.387,0.741,0.465,0.893,0.001,0.692,0.596,0.171,0.424,0.015,0.544,0.449,0.093,0.03,0.552,2.263,1.248,0.959,0.237,2.68,0.915,1.431,52.814,3.016,3.048,2.462,1.561,42.241,0.467,0.467,0,0.279,0.003,5.334,4.005,45.155,0.789,2.761,1.884,0.877,1.067,1.844,0.401,1.443,0.871,0.558,0.059
4932431P20Rik,M02355803,4932431P20Rik:Hom,Hom,Female,2016-05-26,DABT,26.874,35.292,95.267,57.942,88.833,32.02,67.586,1.33,11.212,45.15,54.389,11.984,41.582,6.055,21.068,68.722,0.864,4.733,51.625,41.798,56.656,0.183,1.03,35.34,47.363,32.445,67.35,1.503,52.637,83.282,16.595,6.577,2.277,25.52,74.729,48.17,31.572,23.21,68.428,28.524,57.793,2.441,97.559,3.12,3.602,7.223,3.95,81.625,0.577,99.897,0.103,0.679,0.005,6.783,10.506,83.066,6.222,11.21,26.74,18.938,7.802,13.169,34.708,17.032,82.968,60.757,36.975,18.933,9.628,25.602,14.834,13.178,4.219,8.906,0.175,1.663,0.751,0.905,0.199,10.646,0.645,2.243,7.316,0.092,1.272,0.657,0.532,0.721,0.002,0.526,0.488,0.158,0.329,0.007,0.542,0.452,0.09,0.036,0.581,1.701,1.097,0.922,0.214,1.998,0.57,1.411,56.382,1.759,2.031,4.073,2.227,46.022,0.325,0.325,0,0.383,0.003,4.023,6.231,49.265,0.698,1.664,1.178,0.485,0.819,2.16,0.368,1.792,1.089,0.663,0.125
9330182L06Rik,M02350560,9330182L06Rik:Hom,Hom,Female,2016-05-31,MGVG,26.302,32.853,95.845,57.845,88.98,30.579,68.932,1.386,11.09,45.656,53.826,10.692,41.526,8.728,20.469,65.276,1.528,4.155,51.292,41.308,55.726,0.383,0.909,27.886,48.313,27.302,72.619,3.333,51.687,76.039,23.516,7.567,2.604,28.765,71.436,47.276,32.853,17.876,67.147,29.645,57.112,2.32,97.68,4.212,3.339,7.554,3.514,81.08,0.387,99.691,0.309,0.717,0.009,7.664,14.411,78.157,7.537,14.14,27.259,15.246,12.013,9.576,29.33,17.783,82.217,62.435,36.951,17.696,8.909,25.209,14.582,12.975,3.968,8.944,0.18,1.617,0.738,0.87,0.173,10.468,0.914,2.143,6.833,0.16,1.093,0.561,0.451,0.609,0.004,0.415,0.439,0.12,0.319,0.015,0.47,0.357,0.111,0.036,0.749,1.86,1.231,1.139,0.204,2.329,0.69,1.325,55.787,2.35,1.863,4.214,1.96,45.232,0.216,0.215,0.001,0.4,0.005,4.32,8.122,44.05,1.066,2.055,1.149,0.905,0.722,2.211,0.393,1.818,1.135,0.672,0.119
Klk6,M02351919,Klk6:Hom,Hom,Male,2016-05-31,DAAW,26.993,39.702,96.524,56.55,89.059,23.492,76.543,1.165,11.002,36.969,62.348,9.136,42.952,3.222,24.091,71.512,0.683,3.476,43.326,36.136,62.168,0.221,0.936,36.8,54.031,17.864,82.136,2.738,45.969,68.463,31.456,6.516,2.42,16.03,84.084,26.77,39.828,18.166,60.172,31.064,57.793,1.87,98.13,4.238,4.514,6.113,3.077,81.45,0.697,100,0,0.44,0.008,7.021,11.531,81.141,8.807,10.954,32.582,19.696,12.886,9.628,23.792,20.291,79.709,66.577,32.656,11.118,12.077,26.055,14.734,13.122,3.083,10.044,0.153,1.621,0.599,1.011,0.148,11.191,0.361,2.696,8.003,0.076,0.938,0.407,0.339,0.583,0.002,0.471,0.506,0.09,0.415,0.014,0.43,0.294,0.135,0.028,0.388,2.035,0.648,1.374,0.25,2.076,0.645,1.081,56.712,2.403,2.56,3.467,1.745,46.192,0.395,0.395,0,0.25,0.005,3.755,6.167,43.4,0.965,2.87,1.735,1.135,0.848,2.095,0.425,1.67,1.112,0.545,0.061
Fam160a1,M02354413,Fam160a1(b):Het,Het,Female,2016-05-31,MUGP,34.133,37.566,96.816,63.865,89.513,30.03,69.223,1.483,10.495,40.915,58.249,12.24,35.564,7.538,19.479,66.695,0.948,3.184,60.109,34.78,62.52,0.289,1.383,34.337,44.304,27.423,72.52,2.166,55.696,78.776,20.907,5.17,2.098,25.179,75.037,53.272,31.924,27.173,68.076,27.81,47.895,2.604,97.396,4.45,3.908,4.798,1.75,84.028,1.043,99.863,0.137,0.795,0.017,8.434,10.851,81.13,10.129,11.702,31.913,21.268,10.644,14.004,25.19,31.578,68.422,60.182,39.128,17.499,14.153,33.046,21.105,18.892,5.673,13.077,0.28,2.215,0.906,1.29,0.271,11.753,0.886,2.289,7.838,0.111,1.087,0.653,0.378,0.679,0.003,0.741,0.613,0.168,0.444,0.013,0.77,0.607,0.161,0.04,0.528,1.574,1.118,1.062,0.289,2.265,0.63,1.247,46.648,2.076,1.823,2.238,0.816,39.197,0.487,0.486,0.001,0.371,0.008,3.585,4.612,34.484,1.185,3.232,2.154,1.078,1.418,2.551,0.806,1.746,1.051,0.683,0.12
Ppp1cc,M02355077,WT,WT,Male,2016-05-31,DADC,29.431,38.695,96.673,55.044,89.454,27.401,72.251,1.093,10.652,41.617,58.238,9.119,44.477,9.035,24.032,62.313,0.801,3.327,49.753,37.712,59.64,0.106,1.019,39.052,44.723,26.555,73.293,3.035,55.277,62.308,37.569,10.497,2.636,21.343,78.88,33.425,37.223,20.114,62.777,28.312,57.347,1.976,98.024,4.322,2.329,5.427,2.849,84.371,0.748,100,0,0.597,0.008,7.974,10.46,81.658,7.054,10.345,28.391,18.175,10.216,7.428,33.16,13.916,86.084,70.624,28.75,11.548,11.653,28.451,15.661,14.009,3.839,10.122,0.153,1.668,0.694,0.972,0.152,12.654,1.143,3.041,7.885,0.101,0.979,0.487,0.369,0.584,0.001,0.483,0.456,0.121,0.334,0.014,0.563,0.351,0.212,0.059,0.563,2.079,0.881,1.228,0.247,2.071,0.586,1.133,56.214,2.43,1.309,3.051,1.601,47.428,0.42,0.42,0,0.336,0.005,4.416,5.792,45.217,0.73,2.003,1.282,0.721,0.524,2.339,0.326,2.014,1.422,0.579,0.067
Ppp1cc,M02355078,WT,WT,Male,2016-05-31,DADC,21.961,39.225,95.758,53.808,88.729,41.113,58.185,1.674,11.447,56.974,41.896,11.362,45.633,13.821,26.445,51.012,2.613,4.242,45.975,47.323,50.393,0.749,0.836,33.819,56.505,29.668,70.406,2.214,43.495,79.291,20.614,4.794,3.782,23.589,76.605,42.328,33.903,16.849,66.097,32.939,59.514,1.69,98.31,4.778,3.006,8.182,3.385,80.061,0.792,100,0,0.687,0.01,9.453,17.085,73.83,8.738,12.748,28.533,17.966,10.567,6.002,29.778,18.127,81.873,68.456,30.97,14.626,9.013,21.029,11.315,10.04,4.128,5.842,0.168,1.295,0.738,0.543,0.147,9.596,1.326,2.538,4.895,0.251,0.931,0.428,0.441,0.469,0.007,0.449,0.473,0.14,0.333,0.01,0.364,0.288,0.075,0.017,0.892,2.897,1.601,1.646,0.277,3.209,1.057,1.006,58.508,2.796,1.759,4.787,1.981,46.842,0.464,0.464,0,0.402,0.006,5.607,10.134,43.795,1.114,2.493,1.57,0.923,0.524,2.602,0.472,2.13,1.458,0.66,0.097
Ap2a2,M02355746,Ap2a2:Het,Het,Female,2016-05-31,DABV,27.158,37.322,96.012,58.669,90.682,17.871,82.104,1.175,8.613,30.824,69.072,9.882,40.806,2.661,19.658,77.143,0.706,3.988,46.883,30.216,68.607,0.254,1.244,29.473,46.759,18.78,81.043,2.37,53.241,77.367,22.477,4.214,1.888,18.285,81.752,44.69,31.885,25.227,68.115,41.112,58.429,1.857,98.143,6.35,6.08,5.524,2.631,78.77,0.582,100,0,0.302,0.01,8.426,10.305,81.336,7.044,10.978,30.803,16.694,14.109,11.162,26.744,24.661,75.339,61.631,37.53,15.208,12.234,26.075,15.298,13.872,2.479,11.39,0.163,1.318,0.406,0.91,0.13,10.64,0.283,2.092,8.208,0.075,1.083,0.508,0.327,0.743,0.003,0.489,0.581,0.109,0.471,0.014,0.662,0.512,0.149,0.028,0.345,1.543,0.844,0.991,0.25,2.117,0.87,1.085,57.344,3.641,3.486,3.168,1.509,45.17,0.334,0.334,0,0.173,0.006,4.11,5.026,39.674,0.773,2.17,1.176,0.994,0.786,1.884,0.465,1.419,0.875,0.533,0.081
Dctn4,M02356773,Dctn4:Het,Het,Male,2016-05-31,DABL,29.161,33.337,96.696,59.33,90.244,19.951,80.044,0.94,9.76,33.987,65.591,8.059,40.205,2.82,19.332,77.277,0.79,3.304,45.62,30.247,68.466,0.465,1.067,31.457,55.229,15.78,84.103,1.87,44.771,64.528,35.472,7.787,2.573,12.987,87.241,27.929,49.523,17.219,50.477,29.391,52.364,2.335,97.665,5.084,5.649,8.136,3.677,76.881,0.72,99.91,0.09,0.363,0.011,6.306,16.405,76.166,8.013,11.567,33.505,22.114,11.392,7.871,27.846,18.562,81.438,67.57,31.639,6.187,10.351,28.198,16.73,15.098,3.012,12.085,0.142,1.633,0.555,1.071,0.132,11.337,0.32,2.192,8.761,0.09,0.964,0.44,0.291,0.66,0.004,0.339,0.589,0.093,0.496,0.011,0.478,0.308,0.169,0.037,0.334,2.245,0.719,1.8,0.31,1.835,0.539,1.222,51.141,2.6,2.889,4.161,1.88,39.318,0.368,0.368,0,0.186,0.006,2.794,7.268,33.744,0.927,2.685,1.772,0.913,0.631,2.231,0.414,1.817,1.228,0.575,0.036
Dctn4,M02356775,Dctn4:Het,Het,Female,2016-05-31,DABL,26.725,29.671,95.6,57.484,87.567,34.514,64.814,1.631,12.47,44.811,54.792,12.302,41.93,10.713,18.232,62.15,0.723,4.4,53.277,43.726,52.836,1.146,1.438,26.828,36.617,36.68,63.32,2.625,63.383,73.275,26.459,10.045,2.485,28.865,71.329,42.061,42.023,22.349,57.977,26.869,57.571,2.163,97.837,5.065,3.888,5.899,3.155,81.605,0.463,99.872,0.128,0.582,0.009,7.272,11.826,80.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.831,25.549,14.686,12.861,4.439,8.335,0.21,1.831,0.821,1.003,0.225,10.713,1.148,1.953,6.658,0.077,1.176,0.626,0.514,0.621,0.013,0.443,0.527,0.193,0.333,0.014,0.912,0.668,0.241,0.092,0.717,1.773,1.045,1.377,0.308,1.899,0.51,1.246,56.325,2.853,2.19,3.323,1.777,45.964,0.261,0.26,0,0.328,0.005,3.957,6.436,43.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smg9,M02356890,WT,WT,Female,2016-05-31,PMDC,29.071,32.731,95.423,58.458,89.102,21.849,77.998,1.048,10.59,37.796,62.244,9.178,41.133,7.939,21.985,64.641,0.775,4.577,53.647,34.739,63.554,0.285,0.944,35.018,38.265,30,69.619,2.381,61.735,62.751,36.954,8.028,2.396,28.986,71.33,41.209,40.861,31.771,59.139,30.107,55.216,1.821,98.179,4.754,3.761,5.262,2.471,83.225,0.533,100,0,0.439,0.006,7.923,11.306,80.853,7.668,8.102,29.95,17.199,12.751,9.974,27.004,17.984,82.016,63.689,35.917,12.002,10.493,27.741,16.217,14.449,3.157,11.27,0.151,1.717,0.649,1.069,0.158,11.411,0.906,2.509,7.376,0.088,1.331,0.714,0.462,0.846,0.004,0.467,0.361,0.108,0.252,0.009,0.583,0.366,0.215,0.047,0.695,1.709,0.987,1.308,0.415,1.893,0.57,1.005,54.211,2.577,2.039,2.853,1.339,45.117,0.289,0.289,0,0.238,0.003,4.176,5.959,42.616,0.621,2.297,1.319,0.978,0.765,2.071,0.372,1.698,1.082,0.61,0.073
Gpbp1l1,M02357098,Gpbp1l1:Hom,Hom,Female,2016-05-31,MGXA,26.109,32.773,95.674,58.12,89.317,28.863,70.667,1.466,10.589,43.885,56.001,13.892,41.413,9.994,19.447,64.21,1.178,4.326,50.186,48.822,48.76,1.24,1.365,32.652,40.923,40.1,59.9,2.506,59.077,76.215,23.524,7.378,3.746,31.019,69.196,45.514,31.206,18.924,68.794,28.038,54.092,1.991,98.009,5.156,3.286,6.761,2.927,81.497,0.42,100,0,0.69,0.006,9.176,12.111,78.989,9.971,10.14,33.084,19.325,13.759,9.89,24.475,26.581,73.419,66.924,32.482,15.854,9.055,24.979,14.518,12.967,3.743,9.163,0.19,1.537,0.675,0.861,0.214,10.345,1.034,2.012,6.642,0.122,1.129,0.567,0.551,0.551,0.014,0.569,0.559,0.224,0.335,0.014,0.807,0.615,0.19,0.06,1.162,2.592,1.705,1.462,0.277,3.223,0.904,1.077,53.014,2.733,1.742,3.585,1.552,43.205,0.223,0.223,0,0.366,0.003,4.71,6.217,40.547,1.011,3.299,1.927,1.372,0.986,2.44,0.649,1.792,1.199,0.582,0.092
Fam71b,M02357391,WT,WT,Male,2016-05-31,MGYH,25.392,38.34,96.752,58.655,90.772,20.308,79.674,1.236,9.292,35.402,64.392,7.595,40.891,3.109,23,73.177,1.033,3.248,39.381,32.107,66.973,0.376,0.754,35.741,52.742,15.511,84.489,1.906,47.258,52.224,47.582,8.994,2.516,17.909,82.105,39.572,36.739,19.917,63.261,34.218,59.222,1.575,98.425,4.308,4.623,8.457,3.691,78.588,0.492,100,0,0.206,0.007,5.71,15.098,78.392,7.344,10.305,30.508,12.079,18.429,10.236,25.529,19.884,80.116,68.909,30.186,13.428,11.329,24.567,14.41,13.08,2.656,10.421,0.162,1.339,0.474,0.862,0.102,10.046,0.312,2.311,7.351,0.104,0.825,0.325,0.265,0.552,0.003,0.353,0.398,0.062,0.336,0.008,0.356,0.186,0.17,0.032,0.451,2.066,0.996,1.284,0.256,2.21,0.756,0.933,58.289,2.511,2.695,4.93,2.151,45.808,0.287,0.287,0,0.12,0.004,3.132,8.282,43.002,0.757,2.24,0.887,1.353,0.752,1.875,0.373,1.502,1.035,0.453,0.061
Herc1,M02357749,Herc1:Hom,Hom,Male,2016-05-31,DABD,22.727,42.197,96.069,58.935,91.364,15.998,84.026,1.327,8.505,34.634,65.209,11.828,40.674,3.415,25.062,71.655,1.791,3.931,46.551,25.588,73.102,0.347,1.088,37.398,52.58,20.108,79.831,2.348,47.42,61.215,38.919,7.677,2.02,13.329,86.944,36.032,36.833,29.726,63.167,35.591,61.729,1.599,98.401,3.498,3.72,6.542,2.955,82.977,0.408,100,0,0.314,0.008,5.143,11.904,82.67,7.979,8.019,39.661,14.542,25.119,11.126,16.757,21.049,78.951,65.76,33.625,6.455,11.113,21.834,12.868,11.757,1.881,9.879,0.156,1.094,0.379,0.714,0.129,8.881,0.303,2.226,6.364,0.159,0.893,0.416,0.229,0.653,0.003,0.472,0.572,0.115,0.457,0.013,0.516,0.316,0.201,0.04,0.269,1.756,0.728,1.01,0.3,1.733,0.617,0.987,60.742,2.125,2.259,3.974,1.795,50.402,0.248,0.248,0,0.191,0.005,2.987,6.913,48.012,0.64,3.164,1.16,2.004,0.888,1.337,0.281,1.056,0.694,0.355,0.023
Gtpbp3,M02357772,WT,WT,Female,2016-05-31,MGXY,28.993,31.412,95.8,56.68,89.653,27.194,72.506,1.651,10.253,46.349,53.332,12.987,42.805,7.61,19.782,67.263,2.33,4.2,54.22,36.269,61.05,0.734,1.698,34.845,35.344,27.778,72.05,3.15,64.656,55.103,44.678,15.341,2.546,22.092,78.151,45.101,35.47,23.864,64.53,30.324,55.804,2.055,97.945,4.879,3.86,6.047,2.699,81.951,0.611,100,0,0.445,0.009,7.196,14.443,78.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.675,27.775,15.743,14.114,3.838,10.234,0.233,1.614,0.748,0.861,0.21,11.889,0.905,2.352,7.997,0.277,1.218,0.66,0.442,0.743,0.009,0.589,0.6,0.167,0.432,0.019,1.098,0.605,0.49,0.168,0.563,1.99,1.148,1.335,0.319,2.429,0.737,1.147,54.657,2.667,2.11,3.305,1.475,44.792,0.334,0.334,0,0.243,0.005,3.456,6.937,37.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
