Mouse,Genotype,Colony_Prefix,Sex,Gene_Name,period,start,Age_In_Weeks,low_survival_spotted,start_weight,weigth_min,w_d7,auc_d7,Average_Histo_Score,E_score_Histo,M_score_Histo,surv_days,pre_d10_death
M02459350,Cpgi13569(1.1):Hom,TCAQ,Female,Cpgi13569,C,2016-08-15,7.6,NA,22.6,-0.1017699115044248,-0.08849557522123894,-0.18584070796460206,10.75,2.25,2.5,10,FALSE
M02459352,Cpgi13569(1.1):Hom,TCAQ,Female,Cpgi13569,C,2016-08-15,7.6,NA,23.2,-0.09051724137931026,-0.03448275862068969,0.13793103448275884,5.1,0.6,0.5,10,FALSE
M02459353,Cpgi13569(1.1):Hom,TCAQ,Female,Cpgi13569,C,2016-08-15,7.6,NA,23.3,-0.13304721030042924,-0.10300429184549365,-0.15021459227467848,7.5,1,1.5,10,FALSE
M02459443,Irgm1:Hom,DADB,Female,Irgm1,C,2016-08-08,7,NA,15.2,-0.15131578947368415,0.019736842105263205,0.34539473684210575,11,2.25,2.75,10,FALSE
M02459445,Irgm1:Hom,DADB,Female,Irgm1,C,2016-08-08,7,NA,15.4,-0.09090909090909093,-0.032467532467532464,-0.10714285714285726,6.6,1.1,1,10,FALSE
M02459446,Irgm1:Hom,DADB,Female,Irgm1,C,2016-08-08,7,NA,15.8,-0.10126582278481021,-0.006329113924050722,-0.04746835443038008,9.75,1.75,2.5,10,FALSE
M02459855,WT,CBSC,Female,,C,2016-08-15,6.7,NA,21.4,-0.07476635514018683,-0.032710280373831745,0.007009345794392878,7.75,1.25,1.5,10,FALSE
M02459856,WT,CBSC,Female,,C,2016-08-15,6.7,NA,17.6,-0.06818181818181834,0.01704545454545438,0.04261363636363595,3.25,0.25,0,10,FALSE
M02459857,WT,CBSC,Female,,C,2016-08-15,6.7,NA,19.6,-0.061224489795918505,-0.015306122448979626,-0.0076530612244901704,4.65,0.65,0,10,FALSE
M02459899,WT,CBSC,Female,,C,2016-08-08,6.6,NA,19.1,-0.02094240837696346,0.036649214659685826,0.20680628272251278,4.2,0.2,0.5,10,FALSE
M02460028,Zcchc11:Hom,MGYN,Female,Zcchc11,C,2016-08-08,6.3,NA,17.9,-0.1117318435754189,-0.07262569832402219,-0.15363128491620073,3,1,0,10,FALSE
M02460030,Zcchc11:Hom,MGYN,Female,Zcchc11,C,2016-08-08,6.3,NA,17.5,-0.2571428571428571,-0.14285714285714285,0.03714285714285706,9.1,2.1,2,10,FALSE
M02460037,Zcchc11:Hom,MGYN,Female,Zcchc11,C,2016-08-08,6.6,NA,20,-0.08000000000000007,-0.019999999999999928,-1.734723475976807e-18,5.25,0.75,0.5,10,FALSE
M02461444,Itln1:Hom,CBSC,Female,Itln1,C,2016-09-05,10,NA,NA,-0.01904761904761898,0.00952380952380949,0.04285714285714287,NA,NA,NA,10,FALSE
M02461446,Itln1:Hom,CBSC,Female,Itln1,C,2016-09-05,10,NA,NA,-0.1469194312796209,-0.009478672985782125,-0.18009478672985835,NA,NA,NA,10,FALSE
M02461455,Nctc1(.1):Hom,CBSC,Female,Nctc1,C,2016-08-22,7,NA,NA,-0.1065989847715735,-0.0050761421319795875,0.12436548223350297,NA,NA,NA,10,FALSE
M02461456,Nctc1(.1):Hom,PMBX,Female,Nctc1,C,2016-08-22,7,NA,NA,-0.10106382978723415,0,0.17553191489361705,NA,NA,NA,10,FALSE
M02461457,Nctc1(.1):Hom,PMBX,Female,Nctc1,C,2016-08-22,7,NA,NA,0.024038461538461536,0.03365384615384612,0.22836538461538436,NA,NA,NA,10,FALSE
M02461458,Nctc1(.1):Hom,PMBX,Female,Nctc1,C,2016-08-22,7,NA,NA,-0.07352941176470588,-0.014705882352941037,0.12009803921568661,NA,NA,NA,10,FALSE
M02464558,H2afb3:Hom,DADK,Female,H2afb3,C,2016-08-15,7,NA,20.8,-0.09134615384615395,0.014423076923076957,0.18509615384615347,8.75,1.75,2,10,FALSE
M02465210,WT,CBSC,Female,,C,2016-08-15,6.6,NA,19.3,-0.041450777202072575,0.036269430051813434,0.23575129533678732,4.35,0.35,1,10,FALSE
M02466699,Begain(b):Hom,DAEG,Female,Begain,C,2016-08-22,7.7,NA,NA,-0.23157894736842108,-0.17894736842105266,-0.18421052631578952,NA,NA,NA,10,FALSE
M02467393,WT,DAEG,Female,,C,2016-08-22,6.6,NA,NA,-0.05500000000000007,-0.005000000000000071,0.13749999999999984,NA,NA,NA,NA,FALSE
M02467394,WT,DAEG,Female,,C,2016-08-22,6.6,NA,NA,-0.06703910614525137,-0.03351955307262558,0.03351955307262608,NA,NA,NA,NA,FALSE
M02467395,WT,DAEG,Female,,C,2016-08-22,6.6,NA,NA,-0.07978723404255318,-0.03191489361702135,0.13297872340425512,NA,NA,NA,NA,FALSE
M02467396,WT,PMDR,Female,,C,2016-08-22,6.6,NA,NA,-0.08205128205128212,-0.07179487179487172,-0.030769230769230473,NA,NA,NA,NA,FALSE
M02469110,Ceacam14:Hom,DAEP,Female,Ceacam14,C,2016-08-15,6.1,NA,21.1,-0.10900473933649292,-0.06161137440758297,0.082938388625592,9,2,2,10,FALSE
M02469118,Ceacam14:Hom,DAEP,Female,Ceacam14,C,2016-08-15,6.3,NA,18.5,-0.11351351351351359,-0.0378378378378378,0.24054054054054042,8.25,1.75,2,10,FALSE
M02469119,Ceacam14:Hom,DAEP,Female,Ceacam14,C,2016-08-15,6.3,NA,19.7,-0.23857868020304565,-0.18274111675126894,-0.20304568527918757,9.9,1.9,2.5,10,FALSE
M02469120,Ceacam14:Hom,DAEP,Female,Ceacam14,C,2016-08-15,6.3,NA,17.6,-0.0738636363636364,-0.03977272727272743,-0.025568181818182177,6,0.5,1,10,FALSE
M02469261,H2afb3:Hom,DADK,Female,H2afb3,C,2016-08-15,6.3,NA,18.5,-0.09189189189189186,-0.010810810810810773,0.23783783783783785,9.4,1.9,2,10,FALSE
M02469262,H2afb3:Hom,DADK,Female,H2afb3,C,2016-08-15,6.3,NA,18.7,-0.12299465240641716,-0.026737967914438502,0.13101604278074902,6.5,1,1,10,FALSE
M02469263,H2afb3:Hom,DADK,Female,H2afb3,C,2016-08-15,6.3,NA,19,-0.03157894736842113,-0.015789473684210565,0.05000000000000006,8.5,1.5,2,10,FALSE
M02469518,Bgn(1.1):Hom,PMDR,Female,Bgn,C,2016-08-22,6.7,NA,NA,-0.04054054054054048,0.009009009009008978,0.184684684684685,NA,NA,NA,10,FALSE
M02469520,Bgn(1.1):Hom,PMDR,Female,Bgn,C,2016-08-22,6.7,NA,NA,-0.04390243902439017,-0.024390243902439025,0.11951219512195152,NA,NA,NA,10,FALSE
M02469521,Bgn(1.1):Hom,PMDR,Female,Bgn,C,2016-08-22,6.7,NA,NA,-0.01507537688442197,0.015075376884422148,0.2738693467336689,NA,NA,NA,10,FALSE
M02470085,Ceacam3:Hom,DACT,Female,Ceacam3,C,2016-09-05,8.1,NA,NA,-0.02564102564102564,-0.005128205128205201,0.017948717948718024,NA,NA,NA,10,FALSE
