Gene_Name,Mouse,Genotype,zygosity,Sex,Assay_Date,Colony_Prefix,Vg5plus_Dendritic_epidermal_T_cell_xDETCx_count,CD45plus_Vg5minus_MHC_IIminus_cell_count,Count_of_Vg5plus_DETC_contacting_LC,Count_of_Vg5plus_DETC_not_contacting_LC,Langerhans_cell_xLCx_count,Vg5plus_DETC_to_LC,contacting_to_not_contacting_Vg5plus_DETC,CD45plus_Vg5minus_MHC_IIminus_cells_to_Vg5plus_DETC,Average_volume_of_Vg5plus_DETC,Average_volume_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_volume_of_Vg5plus_DETC_contacting_LC,Average_volume_of_Vg5plus_DETC_not_contacting_LC,Average_volume_of_LC,Average_roundness_of_Vg5plus_DETC,Average_roundness_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_roundness_of_Vg5plus_DETC_contacting_LC,Average_roundness_of_Vg5plus_DETC_not_contacting_LC,Average_roundness_of_LC,Average_no_of_branches_on_Vg5plus_DETC,Average_no_of_branches_on_Vg5plus_DETC_contacting_LC,Average_no_of_branches_on_Vg5plus_DETC_not_contacting_LC,Average_no_of_branches_on_LC,Average_branch_length_of_Vg5plus_DETC,Average_branch_length_of_Vg5plus_DETC_contacting_LC,Average_branch_length_of_Vg5plus_DETC_not_contacting_LC,Average_branch_length_of_LC
Hbs1l,M01786378,Hbs1l:Hom,Hom,Female,2014-07-28,METC,100.3,4,27.3,73,34.7,2.96,0.42,0.05,6559.33,4832.5,7201.33,6076.17,9369,2.16,2.26,2.21,2.13,2.45,1.99,3.35,1.95,7.11,14.96,13.47,15.09,13.24
Evi5,M01789047,Evi5:Hom,Hom,Female,2014-07-30,MFZM,124,0,87,37,85.3,1.45,2.34,0,11911.33,NA,12666.5,10257.33,9585.33,2.32,NA,2.4,2.12,2.51,3.13,4.98,2.45,7.18,17.25,15.21,16.88,14.36
Mospd1,M01782788,WT,WT,Male,2014-07-28,MGHQ,83,0,56.3,26.7,78.7,1.1,2.51,0.1,11265.33,NA,11877.83,9247.83,13956.67,2.13,NA,2.18,1.87,2.75,2.32,3.78,1.77,8.44,16.74,14.67,17.23,14.91
Oog2,M01790479,Oog2:Hom,Hom,Male,2014-07-30,MFTG,100.7,0,57.7,43,71.3,1.42,1.5,0,12264.33,NA,13750.33,9989,11720.33,2.47,NA,2.5,2.43,2.58,3.09,4.95,2.75,7.68,16.84,14.83,17.15,14.39
1700067K01Rik,M01785893,1700067K01Rik:Het,Het,Male,2014-07-28,MFLD,75,2,42.7,32.3,49.3,1.71,1.51,0.02,5421.33,4323.5,5385.67,5542.33,11727.83,2.36,2.52,2.44,2.23,2.77,2.59,3.54,2.17,8.6,16.37,14.51,15.45,14.52
Sap130,M01792395,Sap130:Het,Het,Male,2014-07-28,MGBF,99,1.7,60.3,38.7,77.7,1.28,1.67,0.02,11114.67,4109,11583.5,9568.67,12615,2.34,2.51,2.47,2.16,2.8,2.62,3.97,2.15,8.79,16.64,15.48,15.89,14.85
Hbs1l,M01786372,Hbs1l:Hom,Hom,Male,2014-07-28,METC,165.3,0.7,49.7,115.7,72.7,2.6,0.45,0,5942,3481,6206.5,5837.33,7339.33,2.11,1.84,2.13,2.1,2.02,1.65,2.74,1.66,4.61,15.95,14.07,16.42,12.28
Nubpl,M01785073,Nubpl(b):Het,Het,Male,2014-07-30,MUBJ,109,1.3,58,51,80.3,1.39,1.16,0.01,13693.5,6390,15341.5,10712.17,13853.67,2.37,2.57,2.34,2.48,2.66,3.23,5.55,2.99,8.62,16.77,14.63,16.51,14.84
Rnf10,M01784895,Rnf10(b):Hom,Hom,Female,2014-07-30,MUCM,89.7,0,51,38.7,61.7,1.46,1.37,0,12155.67,NA,12735,11157.33,10066,2.22,NA,2.27,2.21,2.61,3.46,5.64,3.11,7.23,15.77,14.22,15.38,14.21
Tchp,M01786729,Tchp:Hom,Hom,Female,2014-07-30,MGEH,119.7,0,88.3,31.3,105.3,1.15,2.91,0,10429.67,NA,10975.33,8542,11210.17,2.28,NA,2.31,2.09,2.47,2.85,4.69,2.14,7.51,15.05,13.78,14.74,13.92
