Gene_Name,Mouse,Genotype,zygosity,Sex,Assay_Date,Colony_Prefix,Vg5plus_Dendritic_epidermal_T_cell_xDETCx_count,CD45plus_Vg5minus_MHC_IIminus_cell_count,Count_of_Vg5plus_DETC_contacting_LC,Count_of_Vg5plus_DETC_not_contacting_LC,Langerhans_cell_xLCx_count,Vg5plus_DETC_to_LC,contacting_to_not_contacting_Vg5plus_DETC,CD45plus_Vg5minus_MHC_IIminus_cells_to_Vg5plus_DETC,Average_volume_of_Vg5plus_DETC,Average_volume_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_volume_of_Vg5plus_DETC_contacting_LC,Average_volume_of_Vg5plus_DETC_not_contacting_LC,Average_volume_of_LC,Average_roundness_of_Vg5plus_DETC,Average_roundness_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_roundness_of_Vg5plus_DETC_contacting_LC,Average_roundness_of_Vg5plus_DETC_not_contacting_LC,Average_roundness_of_LC,Average_no_of_branches_on_Vg5plus_DETC,Average_no_of_branches_on_Vg5plus_DETC_contacting_LC,Average_no_of_branches_on_Vg5plus_DETC_not_contacting_LC,Average_no_of_branches_on_LC,Average_branch_length_of_Vg5plus_DETC,Average_branch_length_of_Vg5plus_DETC_contacting_LC,Average_branch_length_of_Vg5plus_DETC_not_contacting_LC,Average_branch_length_of_LC
Reg3d,M02232615,Reg3d(b):Hom,Hom,Male,2015-12-29,MUDQ,78.3,0,52,26.3,70,1.15,2.12,0,9870.67,NA,10585.83,8881,10278.67,2.36,NA,2.4,2.26,3.13,2.93,4.27,2.51,8.1,18.02,15.93,16.79,14.65
Tmem18,M02237988,Tmem18(b):Hom,Hom,Female,2015-12-29,PMBA,127.7,0.3,97.3,30.3,108.3,1.19,3.3,0,11903,6671,12582.67,9297.67,12959.83,2.55,3.03,2.61,2.31,2.74,3.38,5.59,2.78,11.11,16.01,14.61,15.28,13.85
Umodl1,M02232202,WT,WT,Female,2015-12-29,MGTC,140.3,0.3,107.7,32.7,112.7,1.24,3.32,0,11096.67,4042,11387.67,9502,11746.17,2.25,2.87,2.28,2.12,2.73,3.17,4.97,2.65,10,16.17,14.7,15.19,13.97
Ncf2,M02234318,Ncf2:Hom,Hom,Female,2015-12-29,MFDL,112,0,91.3,20.7,99.3,1.13,5.4,0,10894.17,NA,11139.5,9125.67,13127.83,2.55,NA,2.59,2.28,3.02,3.37,4.89,2.56,10.69,17.33,15.73,16.79,14.39
H13,M02233869,H13(b):Het,Het,Male,2015-12-29,MUFG,86.3,4.3,37.7,48.7,70.7,1.27,0.79,0.05,6860.33,7467.33,7153.33,6449,10599.5,2.61,2.65,2.68,2.53,2.69,2.76,4.66,2.55,10.51,16.16,14.83,15.79,13.37
H13,M02229379,WT,WT,Female,2015-12-21,MUFG,77.7,1.7,33.7,44,69,1.13,0.76,0.02,7509.67,3880.75,7954.67,7117.5,6799.67,2.08,2.45,2.2,1.98,2.37,1.93,3.42,1.8,5.14,14.54,13.36,14.5,12.7
Mgat4c,M02226699,Mgat4c:Hom,Hom,Male,2015-12-21,MGZS,35.3,2.7,16.7,18.7,64.3,0.47,0.61,1.17,7712.17,8260.5,7223,7461.5,8718.67,2.12,2.27,2.05,2.12,2.6,1.59,2.43,1.53,5.22,14.7,13.58,15.07,14.82
Zfp763,M02226263,WT,WT,Male,2015-12-21,DABA,94.7,0,55.7,39,86.3,1.11,1.42,0,10286.5,NA,10822.17,8724,8688.33,2.2,NA,2.25,2.07,2.54,2.23,4.28,1.75,5.53,15.11,13.75,14.22,14.02
Klrb1a,M02228022,Klrb1a:Hom,Hom,Male,2015-12-21,MHAC,71,0.3,31.3,39.7,47.7,1.76,0.91,0.01,8738.67,4657,11071,7325.83,10570.17,2.39,1.83,2.51,2.33,2.47,2.5,4.65,2.16,6.47,13.66,12.5,13.35,13.2
Zfp763,M02226264,WT,WT,Male,2015-12-21,DABA,104,0.7,61.3,42.7,79,1.35,1.52,0.01,12759.5,4634,13358.5,11664.33,12676.33,2.11,2.01,2.14,2.04,2.47,2.66,4.55,2.31,7.13,15.59,13.65,15.88,14.05
Nrbp1,M02229433,Nrbp1(b):Het,Het,Male,2015-12-21,PMBF,52,0.7,21.3,30.7,49.7,1.09,0.71,0.01,7021,4404,8819,5740.67,6275.33,2.3,2.93,2.31,2.31,2.54,2.39,4.11,2.05,4.73,13.94,12.57,13.69,13.56
Cog6,M02227295,Cog6:Hom,Hom,Female,2015-12-21,MGBW,105,0.7,60.3,44.7,76.3,1.37,1.32,0.01,7328.17,3192,7785.5,6678.33,7884.5,2.32,2.31,2.32,2.31,2.41,2.4,4.2,2.09,5.75,13.63,12.69,13.92,12.55
Rida,M02226559,Hrsp12:Hom,Hom,Male,2015-12-21,MGWT,85.7,0.3,46.3,39.3,53,1.62,1.19,0,11066.67,12667,11479.83,10536.83,13605,2.13,2.55,2.28,2.08,2.87,2.6,4.19,2.43,7.47,15.84,14.27,15.77,15.08
Klk5,M02240402,Klk5:Hom,Hom,Male,2016-01-06,MGYV,94.3,0.3,67,27.3,81,1.17,2.46,0,11072.5,9252,11495.5,9838,10717.67,2.54,1.96,2.69,2.34,2.77,3.24,4.68,2.87,7.49,16.67,14.51,16.17,14.26
Bhlhe40,M02243090,WT,WT,Male,2016-01-06,PMBL,91.3,0,65,26.3,83,1.11,2.73,0,12595.5,NA,13207.83,9169.33,14012.83,2.55,NA,2.6,2.4,2.62,3.45,5.56,2.85,8.65,15.92,14.49,15.75,13.95
Pycr2,M02238448,Pycr2:Hom,Hom,Female,2016-01-06,MGQS,101,4,59.3,41.7,85,1.26,1.46,0.04,6624.67,4758,7528.83,5911.5,15308,2.55,2.36,2.6,2.51,2.77,2.7,4.26,2.4,9.38,15.91,14.52,13.9,14.39
4930590J08Rik,M02240160,WT,WT,Female,2016-01-06,MGRE,89.7,9.7,40,49.7,103,0.87,0.86,0.13,7545,6589.83,8784.33,7024.83,6189.33,2.1,2.19,2.17,2.01,2.22,2.15,3.94,1.89,4,14.02,12.8,13.41,13.23
4930590J08Rik,M02240161,WT,WT,Female,2016-01-06,MGRE,148.7,0,122.3,26.3,130.3,1.14,5.42,0,10856.67,NA,11282,9205.33,10006.33,2.42,NA,2.46,2.26,2.83,3.39,5.24,2.61,9.03,16.25,14.78,15.55,14.03
Bhlhe40,M02243095,WT,WT,Male,2016-01-06,PMBL,74.7,10.7,40,34.7,87,0.86,1.24,0.13,7793.67,4947.33,8986.83,6432.17,11140.67,2.22,2.61,2.18,2.23,2.53,2.27,3.56,2.08,8.22,15.21,14.34,13.54,13.15
Cenpl,M02240948,Cenpl(b):Het,Het,Female,2016-01-06,PMBQ,133.3,4.7,97.3,36,107.3,1.26,2.71,0.04,12687.67,5538,13754,9166.5,13142,2.47,2.07,2.47,2.51,2.82,3.16,5.18,2.8,10.45,16.8,15.14,16.19,14.2
Capn11,M02237838,Capn11(b):Hom,Hom,Male,2016-01-06,PMAU,81.3,0.3,51.3,30,83,1,1.86,0,11579,3045,12241.83,10594.83,10220.5,2.32,2.29,2.4,2.25,2.62,2.86,4.49,2.41,6.61,16.49,14.85,16.54,13.92
Rida,M02237038,Hrsp12:Hom,Hom,Male,2016-01-06,MGWT,63,0.3,36.7,26.3,74.7,0.84,1.44,0.1,7281.5,3544,9268.5,5880.67,11431.83,2.52,2.85,2.57,2.39,3.06,2.37,4.99,1.92,7.64,14.39,13.5,14.18,14.78
Raph1,M02240079,Raph1(b):Hom,Hom,Female,2016-01-06,MUFZ,134,0,89,45,132,1.03,2.01,0,10524.5,NA,10986.33,8968.33,7776.33,2.21,NA,2.24,2.13,2.4,2.76,4.6,2.41,5.6,15.59,14.21,15.49,13.7
1700024P04Rik,M02240573,1700024P04Rik(b):Hom,Hom,Male,2016-01-06,MUHJ,85.7,1.7,62,23.7,61.3,1.4,2.66,0.02,11489.83,5942.75,12170.33,9852.17,14325,2.68,2.85,2.69,2.6,3.04,3.47,5.45,2.65,8.17,16.09,14.15,16.05,14.67
Cnot4,M02244432,WT,WT,Male,2016-01-13,MUGA,106.3,0,73.3,33,77.3,1.4,2.25,0,12506,NA,13520.33,10566.5,13222.17,2.38,NA,2.44,2.22,2.82,3.35,5.48,2.66,9.54,16.84,15.07,15.92,13.98
Ncf2,M02251073,Ncf2:Hom,Hom,Male,2016-01-13,MFDL,90,0.3,67,23,78,1.17,3.3,0,9971.17,4420,10618.17,8865.5,13177,2.71,2.25,2.74,2.59,2.88,3.36,5.65,2.71,8.25,16.08,14.25,16.14,14.1
Nmrk1,M02243990,Nmrk1:Hom,Hom,Female,2016-01-13,MGEW,110,0.3,79.7,30.3,118.7,0.95,2.72,0,9872.67,13670,12493.33,6866,10003.83,2.48,2.19,2.49,2.51,2.4,3.22,6.34,2.41,7.58,14.41,13.1,14.3,12.22
Ptprd,M02245910,Ptprd:Hom,Hom,Male,2016-01-13,MEXY,78.7,6,53,25.7,106.7,0.71,2.09,0.15,14274.83,8577,14870.33,12184.17,10073.67,2.29,NA,2.33,2.2,2.36,7.9,8.86,6.93,6.47,12.06,11.99,6.33,14.19
Wac,M02248630,WT,WT,Female,2016-01-13,PMBB,102.7,0.3,83.7,19,93.7,1.08,4.59,0,11484.67,4935,11757.67,9609,12217.5,2.39,2.31,2.45,2.22,2.99,3.58,5.15,2.81,10.03,17.47,15.3,15.79,14.77
Cog6,M02245188,Cog6:Hom,Hom,Female,2016-01-13,MGBW,123.7,0.3,103.3,20.3,114.7,1.08,5.83,0,8027.5,9410,8390.33,5232.5,11148.5,2.82,3.36,2.87,2.57,2.64,3.54,5.8,2.51,8.47,16.17,14.85,15.42,13.78
Wac,M02248629,WT,WT,Female,2016-01-13,PMBB,103.7,8.7,48.7,55,106.7,0.98,0.91,0.2,8404.67,5886.75,9640.33,7608.83,6258.83,2.25,2.2,2.28,2.19,2.22,2.61,4.95,2.31,4.38,14.11,12.78,13.94,13.31
Fam71b,M02243851,Fam71b:Hom,Hom,Male,2016-01-13,MGYH,60.3,5.7,37,23.3,73,0.86,1.65,0.11,10587.33,6588.25,11732.33,8860,10312,2.71,2.48,2.77,2.5,3,3.42,5.36,2.85,8.14,15.81,14.21,15.22,14.36
Cenpl,M02246511,Cenpl(b):Het,Het,Female,2016-01-13,PMBQ,117.7,1.7,89,28.7,117,1.01,3.47,0.01,12822.83,7735.5,13720.33,7020.5,11371.83,2.49,2.39,2.51,2.39,2.65,3.51,5.87,2.12,8.3,15.99,14.74,14.51,13.96
Cnot4,M02244431,WT,WT,Male,2016-01-13,MUGA,78.7,0.3,58,20.7,58.3,1.39,3.02,0,12695,6204,12987.67,10243.83,14076.83,2.59,2.32,2.65,2.41,3.08,3.29,5.13,2.51,9.42,17.61,15.37,17.29,14.91
Fads3,M02243037,Fads3(b):Hom,Hom,Male,2016-01-13,PMCX,75,1,52.7,22.3,83.7,0.89,2.65,0.01,9098.67,7996,9861.5,7954.5,10584.33,2.05,2.15,2.11,1.96,2.74,2.08,3.2,1.8,7.27,16.01,14.21,15.43,14.22
Krt31,M02251618,Krt31:Hom,Hom,Female,2016-01-26,MFSN,110.3,0,49,61.3,75.3,1.48,0.81,0,9931,NA,10343.5,9790.83,6554.83,2.07,NA,2.11,2.02,2.03,4.75,5.28,4.57,5.43,12.31,11.67,7.81,13.84
Cog6,M02245185,Cog6:Hom,Hom,Male,2016-01-20,MGBW,91.3,1.7,47,44.3,56,1.63,1.12,0.12,12321.67,15455.75,12797,10270.33,15349.33,2.42,2.71,2.51,2.31,2.66,2.98,5.6,2.54,8.8,16.08,14.51,16.06,14.15
Krt31,M02251617,Krt31:Hom,Hom,Female,2016-01-26,MFSN,93.7,0.7,52.7,41,100.7,0.96,1.38,0.01,9685.67,3768.5,10155.5,9179.33,8687,2.12,2.44,2.16,2.08,2.09,5.53,5.87,5.48,6,11.46,11.37,5.88,12.68
Krt31,M02242983,Krt31:Hom,Hom,Male,2016-01-26,MFSN,57,0.3,24.7,32.3,40.7,1.44,0.8,0.01,10518,2113,11167.83,9853.67,11583.67,2.14,3.46,2.14,2.16,2.22,5.93,6.52,5.66,6.8,12.01,11.53,5.64,13.68
Trappc10,M02249479,WT,WT,Female,2016-01-20,MUDB,127,1,86.3,40.7,97,1.32,2.45,0.01,12331.67,10387,13504.5,9665.5,12588.33,2.5,2.32,2.56,2.37,2.7,3.54,5.99,2.76,9.24,16.4,15.02,16.03,14.43
Trappc10,M02249476,WT,WT,Male,2016-01-20,MUDB,104.7,0,69.7,35,85,1.26,2.17,0,12698.67,NA,13408.83,11032.67,12315,2.48,NA,2.58,2.24,3.08,3.41,5.3,2.58,9.16,17.82,16.25,17.49,15.34
Krt31,M02251621,Krt31:Hom,Hom,Female,2016-01-26,MFSN,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,5790.5,NA,NA,NA,NA,2,NA,NA,NA,5.5,NA,NA,NA,12.33
Cfap44,M02250536,WT,WT,Female,2016-01-26,MHCJ,73.7,0,33,40.7,73.3,1.07,0.87,0,8880.67,NA,9223.83,8427.5,8024,1.96,NA,2.03,1.91,2.12,4.33,4.79,4.03,5.98,12.83,12.36,7.2,13.6
Mbl2,M02245452,WT,WT,Male,2016-01-26,DABB,59.3,0,15.7,43.7,29.3,2.64,0.35,0,9884.67,NA,10000,9925.33,7788,2.12,NA,2.13,2.12,2.04,4.63,4.86,4.63,5.18,12.62,12.23,6.41,15.95
Trappc10,M02249517,WT,WT,Male,2016-01-20,MUDB,85.7,1.3,61.3,24.3,80,1.08,2.67,0.02,12200.67,7391.5,12746.5,8616,12909.83,2.73,2.94,2.78,2.58,2.94,3.38,5.61,2.84,8.62,16.21,14.45,15.57,14.51
Raph1,M02247153,Raph1(b):Hom,Hom,Female,2016-01-20,MUFZ,78.7,5.7,47.7,31,97.7,0.81,1.3,0.44,7142.33,6637.25,6900.5,5650.83,11891.67,2.5,2.34,2.52,2.41,2.89,2.18,3.08,1.97,9.64,14.67,14.17,14.04,14.61
Timmdc1,M02251319,Timmdc1(b):Het,Het,Male,2016-01-20,MUHV,95,0,65.3,29.7,71.7,1.33,2.22,0,14966,NA,16005.67,11424.17,15615.17,2.28,NA,2.35,2.16,2.78,3.28,5.36,2.56,8.87,16.87,14.69,16.94,14.44
Dlk1,M02250484,dlk1:Hom,Hom,Female,2016-01-20,DAAH,92.3,0.3,71.3,21,99.3,0.94,3.48,0,8170.67,3333,8521,7229.33,9531.17,2.52,4.01,2.57,2.29,2.74,3.43,5.99,2.39,7.91,14.74,13.39,14.89,14.14
Capza2,M02249013,Capza2(b):Het,Het,Male,2016-01-20,MUFS,62,1.7,39.3,22.7,68,0.93,1.77,0.03,8487.33,5922.75,10117.17,6629.5,13192,2.32,2.21,2.33,2.23,2.92,2.46,3.61,2.4,8.1,16.79,15.33,16.38,14.34
Krt31,M02251612,Krt31:Hom,Hom,Male,2016-01-26,MFSN,45.7,0,6,39.7,19,2.51,0.16,0,9958,NA,10779.83,9786.33,8317.5,2.12,NA,1.96,2.12,2.14,3.88,4.34,3.82,5.04,13.8,15.17,8.47,16.27
Trappc10,M02249500,WT,WT,Female,2016-01-20,MUDB,129,0.7,103.7,25.3,113.3,1.14,4.29,0.01,10222.67,3279,10420.5,9779.67,10468.33,2.41,1.81,2.43,2.19,2.89,2.99,4.23,2.55,9.78,17.71,15.92,16.93,14.55
Krt31,M02251613,Krt31:Hom,Hom,Male,2016-01-26,MFSN,67,0,22.3,44.7,49.3,1.36,0.54,0,11044.33,NA,11276.17,10838.17,8674.17,2.32,NA,2.38,2.32,2.14,4.74,5.56,4.59,5.31,13.4,12.91,7.62,14.97
Nrbp1,M02254003,Nrbp1(b):Het,Het,Female,2016-01-27,PMBF,138.3,2.7,90.3,48,109.3,1.28,1.93,0.02,8296.5,4794.67,8898.33,6801.5,9070.83,2.29,2.09,2.34,2.18,2.52,2.98,5.03,2.4,7.37,15.27,13.98,15.5,14.19
Dcn,M02254964,Dcn:Hom,Hom,Male,2016-01-27,DAAG,122.7,0.3,98.3,24.3,100,1.23,4.12,0,10973,4367,11486.33,9180.67,12531.83,2.37,1.9,2.41,2.2,3.01,3.44,5.06,2.97,10.04,16.65,15.35,16.31,14.79
Cnot4,M02258900,WT,WT,Male,2016-01-27,MUGA,91.3,0,50.3,41,74.7,1.28,1.38,0,11431.17,NA,12525,10528.67,9396.83,2.39,NA,2.42,2.32,2.65,3.2,5.33,2.81,7.05,16.42,14.23,16.64,14.2
Capza2,M02253445,Capza2(b):Het,Het,Male,2016-01-27,MUFS,108.3,0,57,51.3,72.7,1.5,1.13,0.1,13283,NA,14452.5,11070.67,9597.17,2.41,NA,2.48,2.32,2.62,3.23,5.55,2.86,6.42,15.93,14.16,16.11,14.04
Capn11,M02254056,Capn11(b):Hom,Hom,Female,2016-01-27,PMAU,133,0.7,86,47,116.3,1.11,1.7,0.01,6667.33,3982.5,7705.5,5529.33,8069.5,2.4,2.9,2.41,2.38,2.39,3.23,5.03,2.62,7.13,15.81,14.09,15.41,13.69
Capza2,M02253448,WT,WT,Female,2016-01-27,MUFS,120,1,80.7,39.3,121.7,0.99,2.15,0.01,8962.5,4019.75,9746,7587.83,7827,2.31,2.59,2.41,2.09,2.65,2.64,4.49,1.99,7.36,16.61,15.4,15.85,14
Alpk1,M02257577,Alpk1:Hom,Hom,Male,2016-01-27,DAAA,101,1,64.3,36.7,95.3,1.08,1.78,0.01,9074.67,6528.67,9555,7520.5,10076.5,2.21,2.31,2.23,2.2,2.57,2.36,3.99,2.15,7.61,15.72,14.23,15.3,13.88
Nrbp1,M02253999,Nrbp1(b):Het,Het,Female,2016-01-27,PMBF,68.7,3.3,43.3,25.3,82,0.85,1.78,0.05,10584.33,5113.17,11148.83,7669.5,10630.67,2.6,2.74,2.64,2.52,2.54,3.16,5,2.85,6.59,14.65,13.14,13.97,13.49
H13,M02258895,WT,WT,Male,2016-01-27,MUFG,97.7,0.7,76.3,21.3,93,1.06,3.64,0.01,13449.5,6534.5,13933.33,11423.67,12394.5,2.53,2.69,2.57,2.36,2.75,3.4,5.3,2.69,7.93,16.45,14.88,15.79,14.67
Capza2,M02253453,WT,WT,Female,2016-01-27,MUFS,128,0.3,105.3,22.7,109.3,1.19,5.46,0,10227.83,4963,10289.67,9484.17,11386.5,2.48,2.46,2.53,2.11,3.19,3.36,4.88,2.65,11.24,18.32,16.42,17.78,15.24
Fads3,M02259266,Fads3(b):Hom,Hom,Female,2016-02-01,PMCX,152.3,5.7,74.7,77.7,68.3,2.55,1.03,0.04,9750.33,5550,10393.17,8959.33,9584,2.32,2.35,2.38,2.26,2.81,3.2,4.76,2.91,7.38,16.12,14.43,16.16,14.71
Rimbp2,M02254912,Rimbp2:Hom,Hom,Female,2016-02-01,DAAR,111.3,0.3,66.3,45,92.7,1.2,1.52,0.1,11064,4701,12410.67,7837.17,9145.83,2.37,2.69,2.43,2.3,2.42,3.06,5.17,2.61,6.3,15.3,14.09,14.98,13.48
Csmd1,M02261380,Csmd1:Hom,Hom,Male,2016-02-01,DAAC,97.3,0,76,21.3,92,1.07,4.01,0,13868.5,NA,14655.33,7632,12950.83,2.38,NA,2.4,2.12,2.79,3.29,5.77,2.1,8.94,15.9,14.11,15.2,13.88
Rnf138,M02261285,WT,WT,Male,2016-02-01,PMCT,121.3,0.7,85,36.3,115.3,1.06,2.33,0.01,8081.17,4535,8772.33,6101,9771.67,2.45,2.28,2.45,2.41,2.64,3.21,5.12,2.62,8.09,16,14.25,15.62,13.99
Bhlhe40,M02257898,WT,WT,Female,2016-02-01,PMBL,128,0,102.3,25.7,104.3,1.22,4.17,0,11259.67,NA,11769,9116.5,11125.67,2.37,NA,2.43,2.11,2.83,3.31,4.89,2.65,9.64,17.11,15.25,16.9,14.67
Hpf1,M02258344,WT,WT,Female,2016-02-01,DAAN,119.3,1,83.7,35.7,107.3,1.16,2.53,0.01,11293.33,5999.75,12238.33,8055.17,7988.67,2.33,2,2.36,2.21,2.69,3.35,5.94,2.38,6.7,15.71,14.01,15.55,13.87
Fads3,M02262190,Fads3(b):Hom,Hom,Female,2016-02-01,PMCX,103,0,79.3,23.7,85.7,1.21,3.52,0,12936.33,NA,13336.5,10211.17,12041.83,2.5,NA,2.53,2.35,2.76,3.51,5.3,2.68,8.63,16.73,15.11,16.36,14.1
Mau2,M02260796,WT,WT,Male,2016-02-01,MUEG,101.7,2.3,54.3,47.3,65.7,1.6,1.18,0.02,11339,9187.67,13286,9468.83,14626.5,2.43,2.45,2.49,2.37,2.76,2.82,5.28,2.66,10.2,15.61,13.86,15.31,13.8
Otud7b,M02265664,Otud7b(b):Het,Het,Female,2016-02-03,PMAZ,127.7,0,97.3,30.3,123.7,1.03,3.78,0,13571.33,NA,14160.33,10213.17,9264.17,2.53,NA,2.55,2.41,2.69,4.11,6.32,3.21,8.37,16.8,15.37,17.25,14.15
Klk5,M02266961,Klk5:Hom,Hom,Male,2016-02-03,MGYV,102.7,0.3,66.7,36,75.3,1.38,1.95,0,10711.83,19989,12582,8556.67,8013.17,2.59,3.78,2.69,2.51,2.6,3.96,6.49,3,6.11,15.9,14.27,16.34,14.13
Rbm33,M02258737,Rbm33(b):Het,Het,Female,2016-02-03,MUFQ,111.3,4.3,91.7,19.7,106.7,1.14,6.58,0.09,10079,5825.25,10530.67,6585.33,6212.67,2.22,2.83,2.23,2.15,2.43,4.16,7.23,3.41,6.92,15.44,13.9,16.17,14.22
Cnot4,M02260807,Cnot4(b):Het,Het,Female,2016-02-03,MUGA,106.3,1.7,83.3,23,107.3,1,3.65,0.02,11990.5,4962.75,12552.83,7399.5,9475.17,2.69,2.59,2.77,2.4,2.78,3.95,6.26,2.83,7.83,16.55,14.97,16.44,14.11
Dlk1,M02259370,dlk1:Hom,Hom,Female,2016-02-03,DAAH,110,0,90,20,127,0.86,5.16,0,11968.17,NA,12544.17,9774,7926.33,2.39,NA,2.43,2.18,2.53,3.15,4.67,2.25,5.98,17.39,15.1,17.31,14.05
Pdzk1,M02264106,Pdzk1(b):Het,Het,Male,2016-02-03,PMCH,111.3,1,72,39.3,84,1.33,1.85,0.01,13601.83,4863,14884.5,11544.67,14311,2.5,2.25,2.5,2.48,2.72,3.58,6.62,3.18,12.16,16.73,14.48,16.92,13.91
4930404H24Rik,M02258267,4930404H24Rik:Hom,Hom,Male,2016-02-03,MGZK,45.7,1.3,23,22.7,35.3,1.28,1.04,0.05,9864.83,3923.5,10781.83,8296,14887.5,2.56,2.83,2.53,2.61,3,2.13,4.22,1.95,8.52,12.87,12.22,12.34,14.71
Wdr89,M02265598,Wdr89:Hom,Hom,Female,2016-02-03,MGYQ,129.7,1,103.7,26,147.3,0.89,4.25,0.01,10224.33,4091,10742.83,8081.17,6654.83,2.54,2.21,2.56,2.45,2.6,3.35,5.14,2.62,6.5,17.49,15.75,16.92,14.03
Alpk1,M02267004,Alpk1:Hom,Hom,Female,2016-02-03,DAAA,107,4,68.7,38.3,94.7,1.13,1.91,0.04,5328.67,4649.5,6372.17,5010.17,13673.83,2.66,2.22,2.76,2.54,2.76,2.85,4.56,2.24,9.63,15.55,14.18,15.55,14.2
Brd2,M02267010,brd2:Het,Het,Female,2016-02-08,DAAE,89,7,52.7,36.3,91.7,0.96,1.45,0.07,10773.17,4961.5,12849.17,7870.33,11571.67,2.48,2.73,2.53,2.38,2.68,2.74,4.82,2.52,9.11,17.15,14.8,16.99,13.83
Gm12253,M02271107,Gm12253:Hom,Hom,Male,2016-02-10,MGYK,90.3,0.3,59.3,31,83.7,1.09,1.92,0,8347.5,5120,8636,7676,9128.67,2.1,2.06,2.11,2.06,2.93,2.18,3.17,1.96,8.02,17.16,15.85,16.83,14.46
Gm12253,M02271105,Gm12253:Hom,Hom,Male,2016-02-10,MGYK,72.7,0.3,52.7,20,83.3,0.92,2.65,0,11497.83,6275,12246.17,8391.33,11397.83,2.29,1.98,2.35,2.12,2.86,2.51,3.83,2.02,7.88,17.12,15.91,16.43,14.41
Bin2,M02264321,WT,WT,Female,2016-02-08,DACL,144.7,0,103.7,41,109,1.38,2.69,0,9407.17,NA,10150.33,7575.5,9613.17,2.31,NA,2.34,2.21,2.8,2.73,4.27,2.09,8.69,16.64,15.49,16.46,13.92
Zfp879,M02269894,Zfp879(b):Hom,Hom,Female,2016-02-10,PMBP,131.3,0,97,34.3,99,1.35,2.87,0,12431.33,NA,13162.83,10590.83,10042.33,2.37,NA,2.39,2.25,2.58,3.73,5.97,2.93,8.61,15.84,14.49,15.52,13.76
Pgap2,M02269863,Pgap2(b):Het,Het,Female,2016-02-10,PMAY,128.7,0,96.3,32.3,102,1.26,3,0,12395.5,NA,12543.5,11826.83,11939,2.51,NA,2.56,2.39,2.73,3.72,5.4,3.12,9.21,17.56,15.88,17.69,14.02
Il18rap,M02258373,WT,WT,Male,2016-02-08,DACU,100.3,2,45.7,54.7,89.3,1.15,0.86,0.11,7034,4753.17,7255,6836.67,5473,2.13,2.47,2.16,2.13,2.42,2.45,4.16,2.31,5.44,14.92,13.92,15.13,13.5
Il18rap,M02258378,WT,WT,Female,2016-02-08,DACU,112,0,84.7,27.3,119.7,0.94,3.18,0,13317.83,NA,14237.83,10384.33,7954.5,2.33,NA,2.4,2.15,2.52,3.73,5.78,3.06,6.37,15.83,14.34,14.83,13.73
Dhx35,M02267438,Dhx35(b):Het,Het,Female,2016-02-10,MUFL,109.7,0.3,74.3,35.3,107.7,1.02,2.7,0,11383.17,3021,11784.83,8940,9474.33,2.4,1.92,2.44,2.24,2.69,3.04,5.02,2.14,7.52,16.54,14.9,16.64,13.59
ENSMUSG00000065619,M02262863,Clust6N1:Hom,Hom,Female,2016-02-08,MOAE,113,0,85,28,95.7,1.18,3.06,0,11824.83,NA,12616.67,8725.17,10560.83,2.47,NA,2.49,2.34,2.74,3.2,5.03,2.4,8.42,16.64,14.65,16.92,13.79
Fam160a1,M02265580,Fam160a1(b):Het,Het,Male,2016-02-10,MUGP,114.7,0.3,69.7,45,78.3,1.47,1.7,0,12364,9877,13722.67,10261.33,10602.33,2.29,2.06,2.32,2.18,2.62,3.34,5.68,2.76,8.2,16.07,14.44,15.8,13.97
Rab21,M02263309,Rab21(b):Het,Het,Female,2016-02-08,PMCE,104.3,1.3,80.3,24,95,1.09,3.34,0.01,11219.17,6412.83,12218.33,8787.83,10714.67,2.32,2.22,2.31,2.27,2.6,3.19,5.14,2.69,8.03,15.41,14.03,15.18,13.87
Il17re,M02273133,Il17re(b):Hom,Hom,Female,2016-02-10,PMDB,116,0,89.7,26.3,92,1.26,3.47,0,14013.5,NA,14854.5,11967.33,10391.83,2.37,NA,2.43,2.19,2.59,3.46,5.29,2.93,7.32,16.5,14.73,16.53,13.61
Plet1,M02264717,WT,WT,Male,2016-02-08,DABR,120.3,0.7,98,22.3,95,1.27,4.51,0.01,11769.17,5079.5,11911.17,10276.5,12102.83,2.4,2.11,2.45,2.24,2.88,3.16,4.56,2.99,9.11,17.21,15.42,16.7,14.07
Arap2,M02265013,Arap2(b):Hom,Hom,Female,2016-02-08,PMCK,105,0.3,51.3,53.7,65.7,1.62,1.02,0,9460.83,7968,9977.83,8858.33,9352.67,2.35,3.03,2.39,2.28,2.82,2.64,4,2.34,7.9,16.91,15.21,16.83,14.39
Prss52,M02263093,Prss52:Hom,Hom,Male,2016-02-08,MGYE,88,0.3,49.3,38.7,60.7,1.47,1.31,0,10588.67,4545,11408.5,9757.5,12285.83,2.25,2.67,2.39,2.13,2.66,2.68,4.48,2.34,7.53,16.34,14.25,15.84,14.36
Fam47e,M02263162,Fam47e:Hom,Hom,Male,2016-02-08,MGYJ,95,0.3,59.3,35.7,68.3,1.39,1.71,0,11672.33,7329,11854.5,11233,14652,2.42,2.53,2.45,2.3,3.07,3.48,4.89,3.42,10.19,17.43,16.36,17.12,15.06
