Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,Total_B_cells_-_%_of_CD45+,B1a_cells_-_%_of_B_cells,Total_B2_cells_-_%_of_B_cells,Follicular_B_cells_-_%_of_B2_cells,Germinal_centre_B_cells_-_%_of_B2_cells,Plasma_cells_-_%_of_B2_cells,Memory_B_cells_-_%_of_B2_cells,B2_marginal_zone_+_precursor_cells_-_%_of_B2_cells,B2_t1_+_t2_cells_-_%_of_B2_cells,B2_t3_+_f1_+_f2_+_gc_cells_-_%_of_B2_cells,B1a_cells_-_%_of_CD45+,Total_B2_cells_-_%_of_CD45+,Follicular_B_cells_-_%_of_CD45+,Germinal_centre_B_cells_-_%_of_CD45+,Early_germinal_centre_B_cells_-_%_of_CD45+,Late_germinal_centre_B_cells_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,Memory_B_cells_-_%_of_CD45+,Total_T_cells_-_%_of_CD45+,Total_ab_T_cells_-_%_of_total_T_cells,Total_CD4+_T_cells_-_%_of_ab_T_cells,CD4+_T_helper_cells_-_%_of_CD4+,Effector_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Resting_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,KLRG1+_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Total_Treg_cells_-_%_of_CD4+,Effector_Treg_cells_-_%_of_Treg,Resting_Treg_cells_-_%_of_Treg,KLRG1+_Treg_cells_-_%_of_Treg,Total_CD8+_T_cells_-_%_of_ab_T_cells,Effector_CD8+_T_cells_-_%_of_CD8+,Resting_CD8+_T_cells_-_%_of_CD8+,Naive_CD8+_T_cells_-_%_of_CD8+,KLRG1+_CD8+_T_cells_-_%_of_CD8+,Total_gd_T_cells_-_%_of_total_T_cells,CD5+_gd_T_cells_-_%_of_gd_T_cells,Effector_gd_T_cells_-_%_of_gd_T_cells,Resting_gd_T_cells_-_%_of_gd_T_cells,KLRG1+_gd_T_cells_-_%_of_gd_T_cells,Total_NKT_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_NKT_cells,Effector_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Resting_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,KLRG1+_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Total_CD4+_NKT_cells_-_%_of_NKT_cells,Effector_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Resting_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,KLRG1+_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Total_NK_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_NK_cells,Resting_NK_cells_-_%_of_NK_cells,KLRG1+_NK_cells_-_%_of_NK_cells,Total_myeloid_cells_-_%_of_CD45+,Macrophages_-_%_of_myeloid_cells,Granulocytes_+_monocytes_-_%_of_myeloid_cells,Granulocytes_-_%_of_myeloid_cells,Monocytes_-_%_of_myeloid_cells,Eosinophils_-_%_of_myeloid_cells,Total_DC_-_%_of_myeloid_cells,Plasmacytoid_DC_-_%_of_DC,Conventional_DC_(cDC)_-_%_of_DC,Conventional_CD11b_type_DC_-_%_of_cDC,Conventional_CD8a_type_DC_-_%_of_cDC,CD103+_CD8a_type_DC_-_%_of_CD8_type_cDC,Total_ab_T_cells_-_%_of_CD45+,Total_CD4+_T_cells_-_%_of_CD45+,CD4+_T_helper_cells_-_%_of_CD45+,Effector_CD4+_T_helper_cells_-_%_of_CD45+,Resting_CD4+_T_helper_cells_-_%_of_CD45+,KLRG1+_CD4+_T_helper_cells_-_%_of_CD45+,Total_Treg_cells_-_%_of_CD45+,Effector_Treg_cells_-_%_of_CD45+,Resting_Treg_cells_-_%_of_CD45+,KLRG1+_Treg_cells_-_%_of_CD45+,Total_CD8+_T_cells_-_%_of_CD45+,Effector_CD8+_T_cells_-_%_of_CD45+,Resting_CD8+_T_cells_-_%_of_CD45+,Naive_CD8+_T_cells_-_%_of_CD45+,KLRG1+_CD8+_T_cells_-_%_of_CD45+,Total_gd_T_cells_-_%_of_CD45+,CD5+_gd_T_cells_-_%_of_CD45+,Effector_gd_T_cells_-_%_of_CD45+,Resting_gd_T_cells_-_%_of_CD45+,KLRG1+_gd_T_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_CD45+,Effector_CD4-_NKT_cells_-_%_of_CD45+,Resting_CD4-_NKT_cells_-_%_of_CD45+,KLRG1+_CD4-_NKT_cells_-_%_of_CD45+,Total_CD4+_NKT_cells_-_%_of_CD45+,Effector_CD4+_NKT_cells_-_%_of_CD45+,Resting_CD4+_NKT_cells_-_%_of_CD45+,KLRG1+_CD4+_NKT_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_CD45+,Resting_NK_cells_-_%_of_CD45+,KLRG1+_NK_cells_-_%_of_CD45+,Macrophages_-_%_of_CD45+,Granulocytes_+_monocytes_-_%_of_CD45+,Granulocytes_-_%_of_CD45+,Monocytes_-_%_of_CD45+,Eosinophils_-_%_of_CD45+,Total_DC_-_%_of_CD45+,Plasmacytoid_DC_-_%_of_CD45+,Conventional_DC_-_%_of_CD45+,Conventional_CD11b_type_DC_-_%_of_CD45+,Conventional_CD8a_type_DC_-_%_of_CD45+,CD103+_CD8a_type_DC_-_%_of_CD45+
Pdia4,MUEW,M02204792,Pdia4(b):Hom,Hom,Female,2015-11-18,16,37.547,1.949,98.051,95.349,2.684,0.332,0.34,0.315,1.838,98.034,0.732,36.815,35.103,0.988,0.622,0.366,0.122,0.125,60.772,98.306,58.4,89.314,14.864,85.078,0.31,10.619,63.779,34.719,2.573,40.792,2.529,11.786,85.315,0.224,1.694,74.005,10.715,82.227,0.194,0.262,58.45,9.565,90.435,0.652,41.55,48.012,52.294,13.456,0.267,40.648,59.476,13.466,1.465,0.045,6.665,1.342,5.323,9.372,45.064,18.728,81.272,44.596,54.72,79.228,59.742,34.889,31.161,4.632,26.511,0.097,3.705,2.363,1.286,0.095,24.37,0.616,2.872,20.791,0.055,1.03,0.762,0.11,0.847,0.002,0.153,0.015,0.139,0.001,0.109,0.052,0.057,0.015,0.109,0.159,0.036,0.001,0.098,0.02,0.078,0.137,0.66,0.124,0.537,0.239,0.294,0.233
Fads3,PMCX,M02204806,Fads3(b):Hom,Hom,Male,2015-11-18,16,35.214,3.201,96.799,92.127,3.618,0.639,0.264,2.005,2.371,95.745,1.127,34.087,31.403,1.233,0.979,0.255,0.218,0.09,51.887,98.301,56.839,86.443,17.358,82.577,0.253,13.781,61.797,36.893,3.362,42.68,3.41,14.275,81.739,0.894,1.699,62.973,9.644,87.179,0.076,0.263,55.767,7.273,92.955,0.682,44.233,40.688,58.739,21.777,0.459,30.261,69.811,9.579,1.768,0.057,7.807,1.395,6.411,4.526,47.671,25.514,74.486,41.689,56.93,73.507,51.006,28.991,25.061,4.35,20.695,0.063,3.995,2.469,1.474,0.134,21.769,0.742,3.108,17.794,0.195,0.881,0.555,0.085,0.768,0.001,0.147,0.011,0.136,0.001,0.116,0.047,0.068,0.025,0.139,0.321,0.044,0.001,0.138,0.025,0.113,0.08,0.843,0.215,0.628,0.262,0.357,0.263
Gtf2h2,MGYU,M02204901,Gtf2h2:Het,Het,Male,2015-11-23,16.1,24.168,9.428,90.572,86.685,4.924,0.172,0.336,4.563,2.973,91.609,2.279,21.89,18.975,1.078,0.774,0.304,0.038,0.074,38.223,97.952,56.612,90.599,NA,NA,0.632,8.552,NA,NA,4.453,42.615,NA,NA,NA,1.014,2.048,77.017,NA,NA,0.38,0.206,77.404,NA,NA,3.313,22.596,NA,NA,19.858,0.327,NA,NA,10.808,1.406,0,10.91,0.249,10.661,4.426,47.943,34.46,65.54,47.619,51.984,72.519,37.44,21.196,19.203,NA,NA,0.121,1.813,NA,NA,0.081,15.955,NA,NA,NA,0.162,0.783,0.603,NA,NA,0.003,0.16,NA,NA,0.005,0.047,NA,NA,0.009,NA,NA,0.035,0,0.153,0.004,0.15,0.062,0.674,0.232,0.442,0.21,0.23,0.167
Slc16a4,MELU,M02205750,Slc16a4:Hom,Hom,Female,2015-11-23,15.9,42.5,7.845,92.155,88.867,7.781,0.335,0.832,0.484,2.168,96.648,3.334,39.165,34.805,3.048,2.282,0.766,0.131,0.326,37.476,97.846,55.868,NA,NA,NA,0.595,NA,NA,NA,NA,42.742,NA,NA,NA,0.305,2.154,81.276,NA,NA,0.531,0.257,60.769,NA,NA,5.696,39.231,NA,NA,8.497,0.292,NA,NA,18.418,1.028,0.058,12.826,1.915,10.911,4.643,60.07,30.435,69.565,43.472,56.111,80.941,36.669,20.486,NA,NA,NA,0.113,NA,NA,NA,0.118,15.673,NA,NA,NA,0.048,0.807,0.656,NA,NA,0.004,0.156,NA,NA,0.009,0.101,NA,NA,0.009,NA,NA,0.054,0.001,0.132,0.02,0.112,0.048,0.618,0.188,0.43,0.187,0.241,0.195
Apol9b,MGXQ,M02206232,Apol9b:Hom,Hom,Male,2015-11-25,15.9,40.125,2.372,97.628,92.195,4.331,0.356,1.191,1.995,1.578,96.527,0.952,39.173,36.116,1.697,0.943,0.753,0.139,0.467,49.299,97.989,53.805,86.896,17.586,82.362,0.41,13.141,57.542,41.499,4.979,45.512,2.406,22.397,75.043,0.208,2.011,68.276,14.894,83.074,0.318,0.555,72.588,5.16,94.996,0.469,27.412,44.306,55.28,5.59,0.685,49.908,50.46,12.833,1.942,0.017,6.762,1.356,5.406,8.392,43.762,31.451,68.549,34.611,65.103,77.417,48.308,25.992,22.586,3.972,18.602,0.093,3.416,1.965,1.417,0.17,21.986,0.529,4.924,16.499,0.046,0.992,0.677,0.148,0.824,0.003,0.403,0.021,0.383,0.002,0.152,0.067,0.084,0.009,0.342,0.345,0.088,0,0.131,0.026,0.105,0.163,0.85,0.267,0.583,0.202,0.379,0.294
Zfp266,MUFY,M02206542,Zfp266(b):Hom,Hom,Male,2015-11-23,16.1,16.41,8.803,91.197,87.495,2.689,0.704,0.247,4.908,3.717,90.184,1.445,14.966,13.094,0.402,0.306,0.096,0.105,0.037,59.21,98.598,57.813,83.933,12.94,87.012,0.481,11.443,49.585,49.251,3.536,41.738,1.541,13.542,84.694,0.088,1.402,75.179,14.343,82.191,0.08,0.318,73.881,8.028,91.972,1.408,26.119,42.231,58.167,17.53,0.333,37.736,62.661,9.037,1.752,0.024,4.807,0.734,4.073,2.889,47.573,31.409,68.591,54.862,45.065,59.098,58.38,33.751,28.328,3.666,24.649,0.136,3.862,1.915,1.902,0.137,24.367,0.376,3.3,20.637,0.021,0.83,0.624,0.119,0.682,0.001,0.235,0.019,0.216,0.003,0.083,0.035,0.048,0.015,0.126,0.209,0.03,0,0.084,0.013,0.071,0.051,0.833,0.262,0.572,0.314,0.258,0.152
Lars,MUGR,M02206875,WT,WT,Male,2015-11-25,15.6,37.654,2.497,97.503,92.824,2.579,0.295,0.232,2.917,1.763,95.403,0.94,36.714,34.079,0.947,0.63,0.317,0.108,0.085,49.16,98.107,58.348,84.327,13.749,86.146,0.381,15.748,50.182,49.021,4.231,40.597,2.408,14.605,82.881,0.469,1.893,61.759,10.26,87.708,0.2,0.33,51.831,6.884,92.572,1.449,48.169,29.435,70.175,5.653,0.508,37.34,62.66,8.054,1.814,0.037,6.283,0.974,5.31,6.044,48.521,19.652,80.348,36.287,63.336,76.265,48.229,28.141,23.73,3.263,20.443,0.091,4.432,2.224,2.172,0.188,19.579,0.471,2.86,16.228,0.092,0.93,0.575,0.095,0.816,0.002,0.171,0.012,0.158,0.002,0.159,0.047,0.112,0.009,0.19,0.318,0.041,0.001,0.114,0.018,0.096,0.11,0.88,0.173,0.707,0.257,0.448,0.342
Lars,MUGR,M02206876,WT,WT,Male,2015-11-25,15.6,45.739,2.01,97.99,92.848,3.837,0.35,0.344,1.803,1.632,96.685,0.919,44.82,41.615,1.72,1.059,0.661,0.157,0.154,46.259,97.778,55.862,85.067,18.632,81.316,0.387,15.078,56.15,42.765,3.704,43.156,2.73,17.869,79.044,0.177,2.222,59.363,12.504,84.519,0.089,0.362,57.01,6.37,93.778,0.741,42.99,42.829,56.189,5.108,0.615,39.074,61.025,8.661,1.987,0.822,9.16,2.198,6.962,4.68,53.397,17.97,82.03,40.329,59.288,75.194,45.231,25.267,21.493,4.005,17.478,0.083,3.81,2.139,1.629,0.141,19.52,0.533,3.488,15.429,0.035,1.028,0.61,0.129,0.869,0.001,0.207,0.013,0.194,0.002,0.156,0.067,0.088,0.008,0.24,0.375,0.053,0.016,0.182,0.044,0.138,0.093,1.061,0.191,0.87,0.351,0.516,0.388
Lmna,MMNA,M02206959,Lmna:Het,Het,Female,2015-11-25,15.9,37.686,2.576,97.424,91.429,5.375,0.31,0.419,1.493,1.834,96.803,0.971,36.716,33.569,1.973,1.457,0.517,0.114,0.154,56.849,98.057,53.037,88.369,18.639,81.124,0.209,10.721,59.173,39.806,3.867,46.403,2.512,12.117,84.598,0.246,1.943,82.284,10.044,85.534,0.146,0.468,52.006,5.718,94.016,1.463,47.994,34.15,65.562,17.003,0.488,32.228,67.772,19.695,1.54,0.043,6.883,1.126,5.758,5.758,48.593,18.619,81.381,42.474,57.088,76.031,55.744,29.565,26.126,4.87,21.195,0.055,3.17,1.876,1.262,0.123,25.867,0.65,3.134,21.883,0.064,1.105,0.909,0.111,0.945,0.002,0.243,0.014,0.229,0.004,0.224,0.077,0.147,0.038,0.157,0.331,0.096,0.001,0.106,0.017,0.089,0.089,0.748,0.139,0.609,0.259,0.348,0.264
Reg3d,MUDQ,M02207061,Reg3d(b):Hom,Hom,Male,2015-11-18,15.4,33.589,2.54,97.46,93.988,2.959,0.262,0.162,1.708,1.399,96.947,0.853,32.736,30.768,0.969,0.905,0.063,0.086,0.053,57.51,98.443,51.939,87.674,13.016,86.972,0.202,12.243,44.102,55.269,3.306,47.567,1.467,18.318,80.223,0.127,1.557,69.322,7.111,91.586,0.074,0.355,71.857,3.786,96.084,0.261,28.143,22,77.333,15.333,0.557,15.329,84.85,7.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.614,29.405,25.78,3.356,22.422,0.052,3.6,1.588,1.99,0.119,26.93,0.395,4.933,21.604,0.034,0.895,0.621,0.064,0.82,0.001,0.255,0.01,0.245,0.001,0.1,0.022,0.077,0.015,0.085,0.472,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhps,MGXS,M02207108,Dhps:Het,Het,Female,2015-11-30,15.7,23.988,4.134,95.866,92.068,2.348,0.28,0.144,2.882,2.873,94.416,0.992,22.996,21.172,0.54,0.5,0.04,0.064,0.033,61.031,97.65,56.717,88.105,13.617,86.23,0.335,12.122,56.915,41.93,4.458,42.669,2.588,13.429,83.351,0.173,2.35,82.613,9.716,87.192,0.116,0.372,57.758,10.248,89.907,0.621,42.242,36.306,62.42,17.622,0.499,43.984,56.217,15.107,1.611,0.046,6.063,1.591,4.472,8.253,29.852,25.251,74.749,38.43,60.95,72.542,59.597,33.801,29.781,4.055,25.68,0.1,4.097,2.332,1.718,0.183,25.43,0.658,3.415,21.196,0.044,1.434,1.185,0.139,1.25,0.002,0.215,0.022,0.193,0.001,0.157,0.057,0.098,0.028,0.219,0.28,0.075,0.001,0.098,0.026,0.072,0.133,0.481,0.121,0.36,0.138,0.219,0.159
Fam212b,MFUL,M02207638,Fam212b:Hom,Hom,Female,2015-11-18,15.7,33.444,1.721,98.279,96.21,2.108,0.456,0.412,0.428,1.367,98.318,0.576,32.868,31.622,0.693,0.412,0.281,0.15,0.135,63.618,98.219,57.381,88.856,14.104,85.826,0.238,11.158,58.057,41.026,2.341,42.062,2.135,11.093,86.424,0.077,1.781,81.789,11.886,81.73,0.059,0.316,50,10.338,89.662,0.633,50,32.489,67.3,18.987,0.324,33.471,66.735,16.581,1.55,0.086,5.117,0.946,4.171,5.698,40.271,25.948,74.052,44.701,54.506,79.365,62.485,35.854,31.859,4.493,27.343,0.076,4.001,2.323,1.641,0.094,26.282,0.561,2.915,22.714,0.02,1.133,0.927,0.135,0.926,0.001,0.158,0.016,0.142,0.001,0.158,0.051,0.106,0.03,0.108,0.216,0.054,0.001,0.079,0.015,0.065,0.088,0.624,0.162,0.462,0.207,0.252,0.2
Homez,MGLE,M02207779,Homez:Hom,Hom,Male,2015-11-25,16,32.922,5.008,94.992,92.027,4.236,0.298,0.274,1.88,1.998,96.264,1.649,31.273,28.78,1.325,1.157,0.168,0.093,0.086,53.976,97.995,54.239,84.97,19.762,80.169,0.572,14.848,62.331,36.454,4.868,44.75,2.961,24.635,71.81,0.161,2.005,82.771,10.27,87.523,0.061,0.625,71.269,6.632,93.294,0.224,28.731,35.675,64.14,5.915,0.697,50.238,50.143,10.048,3.355,0.037,8.799,5.841,2.957,5.397,26.248,22.746,77.254,37.284,62.352,75.439,52.893,28.689,24.377,4.817,19.543,0.139,4.26,2.655,1.553,0.207,23.67,0.701,5.831,16.997,0.038,1.082,0.896,0.111,0.947,0.001,0.445,0.03,0.415,0.001,0.18,0.064,0.115,0.011,0.35,0.349,0.07,0.001,0.295,0.196,0.099,0.181,0.881,0.2,0.68,0.254,0.424,0.32
Sh3bgrl3,PMAR,M02208069,Sh3bgrl3(b):Hom,Hom,Female,2015-11-23,16,13.592,10.398,89.602,80.928,6.12,1.004,0.519,7.4,4.432,87.048,1.413,12.179,9.856,0.745,0.567,0.178,0.122,0.063,64.715,98.506,55.25,82.102,15.014,84.923,0.316,9.626,62.108,36.872,3.266,44.27,1.725,10.842,87.075,0.082,1.494,85.821,11.895,83.981,0.068,0.215,62.787,14.634,85.366,1.951,37.213,45.679,55.144,23.868,0.347,42.07,58.31,16.144,1.844,0,6.948,1.101,5.847,8.884,37.737,25.855,74.145,47.761,52.239,64.416,63.748,35.221,28.917,4.342,24.557,0.091,3.39,2.106,1.25,0.111,28.221,0.487,3.06,24.574,0.023,0.967,0.83,0.115,0.812,0.001,0.135,0.02,0.115,0.003,0.08,0.037,0.044,0.019,0.146,0.202,0.056,0,0.128,0.02,0.108,0.164,0.696,0.18,0.516,0.246,0.27,0.174
Mir32,MOAA,M02208243,mmu-mir-32 KO:Hom,Hom,Male,2015-11-18,15.7,40.689,1.825,98.175,94.403,3.594,0.266,0.303,0.673,1.401,97.998,0.743,39.946,37.711,1.436,1.032,0.403,0.106,0.121,52.37,98.167,55.969,84.31,18.462,81.43,0.29,15.759,56.488,41.998,3.426,43.478,3.409,22.368,73.661,0.118,1.833,66.667,13.264,82.951,0.174,0.316,58.061,6.715,92.74,1.27,41.939,42.714,57.035,23.116,0.426,28.382,71.618,9.226,2.543,0.169,6.586,1.745,4.841,5.854,27.807,43.522,56.478,40.143,58.602,76.147,51.41,28.774,24.259,4.479,19.754,0.07,4.534,2.561,1.904,0.155,22.352,0.762,5,16.465,0.026,0.96,0.64,0.127,0.796,0.002,0.184,0.012,0.17,0.002,0.133,0.057,0.076,0.031,0.121,0.305,0.039,0.004,0.167,0.044,0.123,0.149,0.707,0.308,0.399,0.16,0.234,0.178
Ifnar1,MGKE,M02208622,Ifnar1:Hom,Hom,Female,2015-11-23,15.9,20.012,6.667,93.333,81.147,12.426,0.714,1.332,2.433,3.152,93.573,1.334,18.678,15.157,2.321,1.466,0.855,0.133,0.249,54.98,98.493,57.258,86.746,24.91,74.848,0.312,9.494,69.125,28.754,2.144,42.173,5.157,5.392,83.084,0.107,1.507,80.582,19.617,71.611,0.279,0.207,56.459,33.051,66.949,3.107,43.541,73.26,25.641,5.128,0.316,49.007,51.724,18.704,1.188,0,3.501,0.787,2.714,4.013,53.029,17.73,82.27,65.825,34.085,70.37,54.152,31.006,26.896,6.7,20.131,0.084,2.944,2.035,0.846,0.063,22.837,1.178,1.231,18.974,0.024,0.829,0.668,0.163,0.593,0.002,0.117,0.039,0.078,0.004,0.09,0.066,0.023,0.005,0.155,0.164,0.059,0,0.042,0.009,0.032,0.048,0.63,0.112,0.518,0.341,0.177,0.124
Otud7b,PMAZ,M02209289,Otud7b(b):Het,Het,Male,2015-11-30,16,38.511,2.294,97.706,91.682,3.976,0.236,0.284,2.124,2.402,95.657,0.883,37.628,34.498,1.496,1.181,0.315,0.089,0.107,46.544,97.697,52.128,83.714,23.636,76.016,0.407,16.64,64.295,34.032,4.623,47.097,4.517,19.747,73.794,0.224,2.303,70.678,20.429,75.808,0.311,0.465,58.596,11.002,89.242,0.244,41.404,48.789,49.827,11.592,0.626,53.858,46.142,11.762,2.288,0.073,7.056,1.479,5.578,3.323,37.681,19.58,80.42,40.531,58.937,77.295,45.472,23.704,19.844,4.69,15.084,0.081,3.944,2.536,1.342,0.182,21.416,0.967,4.229,15.804,0.048,1.072,0.758,0.219,0.813,0.003,0.273,0.03,0.243,0.001,0.193,0.094,0.096,0.022,0.337,0.289,0.074,0.002,0.161,0.034,0.128,0.076,0.862,0.169,0.693,0.281,0.409,0.316
Rab21,PMCE,M02209328,WT,WT,Male,2015-11-25,15.6,37.755,2.846,97.154,92.659,3.079,0.39,0.309,2.52,1.876,95.738,1.075,36.68,33.988,1.129,0.786,0.343,0.143,0.113,50.098,97.982,56.455,85.373,15.904,84.05,0.299,12.382,48.975,50.014,2.999,42.888,2.686,18.12,78.98,0.144,2.018,62.692,9.473,87.83,0.092,0.444,44.731,6.552,93.292,0.312,55.269,40.657,59.091,3.788,0.452,33.859,66.278,11.995,1.581,0.063,5.249,1.033,4.216,4.532,51.033,17.431,82.569,35.168,64.432,71.817,49.086,27.712,23.659,3.763,19.885,0.071,3.431,1.68,1.716,0.103,21.052,0.565,3.815,16.627,0.03,1.011,0.634,0.096,0.888,0.001,0.199,0.013,0.185,0.001,0.246,0.1,0.145,0.009,0.153,0.3,0.054,0.001,0.083,0.016,0.067,0.072,0.807,0.141,0.666,0.234,0.429,0.308
Rab21,PMCE,M02209333,Rab21(b):Het,Het,Male,2015-11-23,15.7,15.405,11.904,88.096,71.184,12.233,1.2,1.214,11.051,4.201,83.417,1.834,13.571,9.661,1.66,1.089,0.571,0.163,0.165,54.517,98.532,55.199,85.83,12.392,87.556,0.447,11.608,51.542,47.415,2.987,44.237,1.781,13.344,84.84,0.175,1.468,74.753,11.367,86.203,0.041,0.286,75.663,6.25,93.75,1.067,24.337,33.175,67.299,24.171,0.486,31.14,68.86,9.227,2.345,0.018,5.753,0.895,4.859,4.876,41.519,34.559,65.441,51.323,48.354,63.551,53.717,29.652,25.45,3.154,22.283,0.114,3.442,1.774,1.632,0.103,23.763,0.423,3.171,20.16,0.042,0.8,0.598,0.091,0.69,0,0.216,0.014,0.203,0.002,0.07,0.023,0.047,0.017,0.151,0.335,0.045,0,0.135,0.021,0.114,0.114,0.974,0.336,0.637,0.327,0.308,0.196
Gm16432,PMCY,M02209398,Gm16432(b):Hom,Hom,Male,2015-11-30,15.9,33.041,3.738,96.262,88.729,5.553,0.202,0.393,3.086,2.756,94.282,1.235,31.806,28.221,1.766,1.27,0.496,0.064,0.125,49.091,97.75,55.906,85.307,16.598,83.306,0.373,15.119,54.865,44.19,4.619,43.381,2.351,22.76,74.587,0.175,2.25,74.343,10.625,87.534,0.06,0.466,50.036,7.143,92.714,0.714,49.964,27.611,71.531,16.595,0.671,39.672,60.477,13.853,2.51,0.097,7.958,2.823,5.135,4.575,20.711,31.727,68.273,37.694,61.79,63.788,47.987,26.828,22.886,3.799,19.065,0.085,4.056,2.225,1.792,0.187,20.817,0.489,4.738,15.527,0.036,1.104,0.821,0.117,0.967,0.001,0.233,0.017,0.216,0.002,0.233,0.064,0.167,0.039,0.266,0.406,0.093,0.002,0.2,0.071,0.129,0.115,0.52,0.165,0.355,0.134,0.219,0.14
Gm16432,PMCY,M02209402,Gm16432(b):Hom,Hom,Female,2015-11-30,15.9,40.109,5.993,94.007,96.119,2.086,0.131,0.318,0.479,1.438,98.206,2.404,37.706,36.242,0.787,0.621,0.166,0.049,0.12,58.318,98.472,54.36,90.859,47.634,51.32,0.284,9.241,79.605,16.628,2.831,44.87,23.674,4.781,30.979,0.15,1.528,85.484,40.441,43.21,0.15,0.324,30.896,74.667,25,2,69.104,53.502,41.58,11.028,0.393,82.288,17.881,16.356,1.096,0.061,10.697,1.895,8.802,3.423,32.885,23.048,76.952,30.193,69.082,77.972,57.427,31.217,28.364,13.511,14.556,0.081,2.885,2.296,0.48,0.082,25.768,6.1,1.232,7.983,0.039,0.891,0.762,0.36,0.385,0.001,0.1,0.075,0.025,0.002,0.224,0.12,0.093,0.025,0.324,0.07,0.064,0.001,0.117,0.021,0.096,0.038,0.36,0.083,0.277,0.084,0.192,0.149
Aicda,PMAV,M02209637,Aicda(b):Hom,Hom,Male,2015-11-23,15.7,35.908,5.41,94.59,53.596,34.723,0.404,0.042,3.456,7.017,88.319,1.943,33.966,18.204,11.794,11.792,0.001,0.137,0.014,38.401,97.795,52.816,79.493,25.12,74.813,0.493,11.686,58.06,40.257,4.454,46.453,2.745,15.042,82.061,0.237,2.205,57.159,15.209,79.412,0.116,0.326,64.02,7.221,92.779,1.256,35.98,42.737,56.425,17.598,0.547,40.168,59.772,12.89,1.676,0,5.846,0.139,5.707,3.619,53.37,15.946,84.054,49.025,50.798,74.607,37.554,19.834,15.767,3.961,11.796,0.078,2.318,1.346,0.933,0.103,17.445,0.479,2.624,14.316,0.041,0.847,0.484,0.129,0.673,0.001,0.209,0.015,0.194,0.003,0.117,0.05,0.066,0.021,0.22,0.327,0.07,0,0.098,0.002,0.096,0.061,0.894,0.143,0.752,0.368,0.382,0.285
Aicda,PMAV,M02209643,Aicda(b):Hom,Hom,Male,2015-11-23,15.7,31.595,5.527,94.473,62.127,29.071,0.637,0.046,2.931,4.869,91.199,1.746,29.849,18.544,8.678,8.675,0.002,0.19,0.014,45.909,98.249,54.647,82.653,21.945,77.924,0.501,10.52,59.657,38.563,3.547,44.286,3.81,15.688,80.15,1.054,1.751,62.622,11.686,78.787,0.081,0.337,77.087,8.06,91.94,1.763,22.913,45.763,52.966,22.881,0.481,42.284,57.784,11.829,1.821,0.037,6.315,0.165,6.15,3.771,48.472,17.485,82.515,48.192,51.487,71.022,45.105,24.648,20.373,4.471,15.875,0.102,2.593,1.547,1,0.092,19.975,0.761,3.134,16.01,0.21,0.804,0.503,0.094,0.633,0.001,0.26,0.021,0.239,0.005,0.077,0.035,0.041,0.018,0.204,0.278,0.057,0.001,0.115,0.003,0.112,0.069,0.883,0.154,0.728,0.351,0.375,0.266
Dhx35,MUFL,M02209659,WT,WT,Male,2015-11-30,16.1,36.52,2.415,97.585,92.877,3.322,0.131,0.325,2.242,1.608,96.199,0.882,35.638,33.099,1.184,0.835,0.349,0.047,0.116,50.556,98.295,55.752,83.716,18.989,80.564,0.213,16.843,57.347,40.031,2.536,43.629,4.148,13.407,78.786,0.211,1.705,67.285,21.462,74.13,0.58,0.251,61.753,15.699,84.086,0.86,38.247,48.264,51.042,12.5,0.473,41.62,58.592,12.113,1.589,0.127,13.795,5.637,8.159,2.479,43.908,24.421,75.579,42.018,57.471,71.778,49.694,27.705,23.194,4.404,18.686,0.049,4.666,2.676,1.868,0.118,21.681,0.899,2.907,17.082,0.046,0.862,0.58,0.185,0.639,0.005,0.155,0.024,0.13,0.001,0.096,0.046,0.049,0.012,0.197,0.277,0.057,0.002,0.219,0.09,0.13,0.039,0.697,0.17,0.527,0.221,0.303,0.217
