Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,HFA-_%_of_B220+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_B220+,HFB-_%_of_B220+,HFC-_%_of_B220+,HFD-_%_of_B220+,HFE-_%_of_B220+,HFF-_%_of_B220+,HFA-_%_of_CD45+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_CD45+,HFB-_%_of_CD45+,HFC-_%_of_CD45+,HFD-_%_of_CD45+,HFE-_%_of_CD45+,HFF-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+,Granulocyte_precursors_-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,NK_cell_precursors_-_%_of_CD45+
Cpgi81,TCAF,M02318771,Cpgi81(tm1.1):Hom,Hom,Male,2016-04-18,15.9,4.48,19.505,18.173,1.332,42.357,14.488,19.645,1.343,5.846,5.447,0.399,12.696,4.343,5.888,29.974,48.902,18.386,0.251,2.441,NA
Dfna5,PMBH,M02323187,Dfna5(b):Hom,Hom,Male,2016-04-18,16,5.446,23.174,21.283,1.891,37.167,15.242,19.458,1.475,6.278,5.766,0.512,10.069,4.129,5.271,27.09,46.707,22.344,0.115,3.712,NA
Chka,MHBV,M02323335,Chka:Het,Het,Male,2016-04-18,15.9,5.75,17.545,16.259,1.286,42.002,16.866,18.053,1.357,4.142,3.838,0.304,9.915,3.981,4.262,23.605,51.513,22.008,0.175,2.658,NA
Washc2,PMBY,M02322422,Fam21(b):Het,Het,Female,2016-04-18,15.9,7.679,13.937,10.89,3.047,39.964,18.178,19.001,2.318,4.207,3.287,0.92,12.063,5.487,5.735,30.184,40.675,23.656,0.317,5.12,NA
Mir96,TCAA,M02320182,Mir96(.2):Het,Het,Female,2016-04-18,15.9,8.541,12.73,9.256,3.473,38.034,15.989,22.245,2.292,3.417,2.484,0.932,10.209,4.292,5.971,26.84,41.571,24.119,0.881,6.545,NA
Gt(ROSA)26Sor,TAAN,M02319909,ROSA26_Dre_C03:Het,Het,Male,2016-04-18,15.9,8.491,21.015,18.637,2.378,38.996,14.993,15.895,1.769,4.378,3.882,0.495,8.123,3.123,3.311,20.831,54.64,21.518,0.201,2.764,NA
Cpgi81,TCAF,M02318773,Cpgi81(tm1.1):Hom,Hom,Male,2016-04-18,15.9,4.959,16.806,15.452,1.354,40.144,16.647,21.634,1.25,4.236,3.895,0.341,10.118,4.196,5.453,25.205,50.335,21.716,0.145,2.55,NA
Sh3bp4,MGNY,M02322971,Sh3bp4:Hom,Hom,Male,2016-04-18,15.9,8.386,25.977,23.374,2.603,33.528,11.914,21.696,1.811,5.61,5.048,0.562,7.241,2.573,4.685,21.596,49.939,25.83,0.185,2.468,NA
Mir96,TCAA,M02320186,Mir96(.2):Het,Het,Female,2016-04-18,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rimbp2,DAAR,M02317560,Rimbp2:Hom,Hom,Male,2016-04-18,16.1,6.459,19.14,17.579,1.56,41.348,14.413,18.478,1.463,4.335,3.982,0.353,9.365,3.264,4.185,22.649,52.119,22.933,0.137,2.097,NA
Cfap53,DAAP,M02324065,Cfap53:Het,Het,Female,2016-04-20,15.9,7.112,17.244,15.508,1.736,41.869,15.385,18.52,2.132,5.17,4.65,0.52,12.553,4.613,5.552,29.981,41.46,23.589,0.315,4.574,NA
Nelfe,MGSR,M02320165,WT,WT,Male,2016-04-20,15.7,6.316,17.205,16.509,0.696,37.454,16.765,22.212,1.383,3.768,3.616,0.153,8.203,3.672,4.865,21.901,50.745,24.513,0.179,2.583,NA
Trim21,DAAM,M02323243,trim21:Hom,Hom,Male,2016-04-20,15.6,7.445,16.781,16.348,0.432,41.991,14.889,19.806,1.583,3.569,3.477,0.092,8.93,3.167,4.212,21.267,54.88,20.894,0.201,2.702,NA
Gpbp1l1,MGXA,M02320879,Gpbp1l1:Hom,Hom,Female,2016-04-20,15.9,6.543,12.05,11.297,0.753,53.114,17.115,11.5,2.088,3.845,3.605,0.24,16.951,5.462,3.67,31.914,43.59,21.315,0.213,2.907,NA
Mbd1,DAAV,M02328781,Mbd1:Hom,Hom,Male,2016-04-20,15.6,6.953,24.21,23.188,1.022,34.595,11.632,21.275,1.292,4.499,4.31,0.19,6.43,2.162,3.954,18.585,53.046,25.215,0.195,2.916,NA
Smim1,DACM,M02321389,WT,WT,Female,2016-04-20,16.1,8.468,17.015,15.813,1.202,40.035,17.462,17.676,2.377,4.776,4.439,0.337,11.238,4.902,4.962,28.07,45.824,22.236,0.271,3.521,NA
Herc1,DABD,M02319155,WT,WT,Male,2016-04-20,15.7,6.582,28.244,27.765,0.478,34.074,12.824,19.165,1.648,7.073,6.953,0.12,8.533,3.211,4.799,25.043,48.948,23.353,0.182,2.393,NA
Rab17,MHBR,M02316080,Rab17:Hom,Hom,Female,2016-04-20,16,6.929,15.281,14.025,1.256,39.756,16.487,21.731,2.321,5.118,4.698,0.421,13.316,5.522,7.279,33.495,37.929,24.089,0.513,3.884,NA
Herc1,DABD,M02319159,WT,WT,Female,2016-04-20,15.7,9.783,17.05,15.075,1.976,35.385,15.25,22.563,2.483,4.327,3.826,0.501,8.981,3.87,5.726,25.38,46.886,24.249,0.353,3.061,NA
Zfp341,MHAE,M02323381,Zfp341:Hom,Hom,Male,2016-04-20,15.6,9.853,16.748,16.379,0.368,33.532,14.661,25.645,2.041,3.469,3.392,0.076,6.945,3.037,5.312,20.712,55.511,20.455,0.149,3.102,NA
Herc1,DABD,M02319156,WT,WT,Male,2016-04-20,15.7,5.991,14.815,14.324,0.491,41.26,15.66,22.719,1.382,3.417,3.303,0.113,9.515,3.612,5.239,23.062,53.03,21.387,0.203,2.256,NA
Herc1,DABD,M02319160,WT,WT,Female,2016-04-20,15.7,13.165,25.305,21.308,3.997,21.702,7.586,30.952,2.421,4.653,3.918,0.735,3.991,1.395,5.692,18.389,50.363,27.015,0.299,3.864,NA
Crls1,MHDD,M02324156,Crls1:Het,Het,Male,2016-04-20,15.9,7.791,12.611,12.263,0.348,34.91,13.258,32.043,1.541,2.494,2.426,0.069,6.905,2.622,6.338,19.78,53.868,23.555,0.171,2.576,NA
Washc2,PMBY,M02341953,Fam21(b):Het,Het,Female,2016-05-11,15.9,8.8,15.952,14.865,1.087,40.678,15.922,20.045,2.414,4.376,4.078,0.298,11.16,4.368,5.499,27.434,42.759,26.891,0.353,2.577,NA
H13,MUFG,M02342848,WT,WT,Male,2016-05-11,16,7.173,21.95,20.897,1.054,32.359,15.109,22.706,1.364,4.175,3.974,0.2,6.155,2.874,4.319,19.02,50.625,27.842,0.238,2.27,NA
H13,MUFG,M02342855,WT,WT,Male,2016-05-11,16,7.515,30.626,29.367,1.26,31.87,11.697,18.123,1.265,5.155,4.942,0.212,5.364,1.969,3.05,16.83,52.823,28.188,0.236,1.911,NA
Krt83,MUER,M02339718,5430421N21Rik(b):Hom,Hom,Female,2016-05-11,15.9,8.441,26.239,24.565,1.674,38.143,14.926,12.209,2.144,6.666,6.241,0.425,9.69,3.792,3.102,25.405,45.539,25.967,0.42,2.647,NA
H13,MUFG,M02342854,WT,WT,Female,2016-05-11,16,10.335,12.621,10.806,1.815,31.261,15.202,30.218,1.985,2.424,2.076,0.349,6.004,2.92,5.804,19.207,49.748,27.186,0.383,3.467,NA
Ifitm6,PMBG,M02342789,Ifitm6(b):Hom,Hom,Male,2016-05-11,15.9,6.542,25.638,24.329,1.309,32.948,13.659,21.209,1.213,4.755,4.513,0.243,6.111,2.533,3.934,18.548,51.143,28.004,0.194,2.09,NA
Krt83,MUER,M02339717,5430421N21Rik(b):Hom,Hom,Female,2016-05-11,15.9,8.601,20.675,18.96,1.715,40.368,16.607,13.761,2.357,5.666,5.196,0.47,11.063,4.551,3.771,27.406,44.033,24.539,0.355,3.658,NA
H13,MUFG,M02342852,WT,WT,Female,2016-05-11,16,10.656,15.671,13.765,1.906,37.914,14.507,21.465,2.337,3.436,3.018,0.418,8.314,3.181,4.707,21.928,44.285,29.706,0.529,3.543,NA
Rimbp2,DAAR,M02345865,Rimbp2:Hom,Hom,Female,2016-05-11,15.9,10.86,28.02,26.512,1.508,40.759,12.972,9.744,3.303,8.523,8.064,0.459,12.397,3.945,2.964,30.415,42.509,24.082,0.311,2.667,NA
Macrod1,DAAU,M02342831,Macrod1:Hom,Hom,Female,2016-05-11,15.6,8.259,23.516,21.31,2.206,32.064,13.844,23.174,2.024,5.762,5.222,0.54,7.857,3.392,5.679,24.504,45.486,26.288,0.279,3.442,NA
Gm12253,MGYK,M02341132,Gm12253:Hom,Hom,Female,2016-05-11,15.7,6.513,22.901,22.123,0.779,42.97,15.362,13.638,2.299,8.083,7.808,0.275,15.167,5.422,4.814,35.296,40.113,21.666,0.443,2.489,NA
H13,MUFG,M02342860,WT,WT,Female,2016-05-11,16,10.614,18.78,16.314,2.466,33.754,13.722,21.02,2.126,3.762,3.268,0.494,6.761,2.749,4.21,20.03,45.697,30.466,0.474,3.34,NA
Hmgxb3,MFEZ,M02340848,Hmgxb3:Het,Het,Female,2016-05-11,15.9,8.304,19.949,18.28,1.669,37.323,17.544,16.752,2.391,5.743,5.262,0.481,10.744,5.051,4.823,28.788,40.969,26.798,0.352,3.084,NA
Nebl,PMCM,M02342776,Nebl(b):Hom,Hom,Female,2016-05-11,15.6,8.937,20.466,18.696,1.769,32.023,14.41,24.943,2.296,5.259,4.804,0.455,8.228,3.703,6.409,25.695,45.564,24.772,0.295,3.662,NA
H13,MUFG,M02342846,WT,WT,Male,2016-05-11,16,6.917,22.201,21.358,0.843,35.537,12.683,22.008,1.366,4.385,4.218,0.167,7.019,2.505,4.347,19.75,51.438,26.424,0.283,2.105,NA
Josd1,DAAF,M02340226,josd1:Hom,Hom,Male,2016-05-16,16,12.414,18.139,17.831,0.308,33.111,12.767,25.322,2.46,3.595,3.534,0.061,6.563,2.53,5.019,19.82,52.092,24.509,0.219,3.215,NA
Josd1,DAAF,M02340224,josd1:Hom,Hom,Male,2016-05-16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9330182L06Rik,MGVG,M02339687,9330182L06Rik:Hom,Hom,Male,2016-05-16,16,8.191,19.751,19.434,0.317,41.005,12.601,19.315,1.782,4.296,4.227,0.069,8.919,2.741,4.201,21.752,49.16,26.048,0.184,2.771,NA
Dnah17,MGXE,M02345291,Dnah17:Hom,Hom,Male,2016-05-16,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4932431P20Rik,DABT,M02340522,4932431P20Rik:Hom,Hom,Female,2016-05-16,16,10.637,19.715,19.142,0.573,36.443,13.127,21.684,2.503,4.639,4.504,0.135,8.576,3.089,5.103,23.532,45.671,27.134,0.277,3.309,NA
Dnah17,MGXE,M02345289,Dnah17:Hom,Hom,Male,2016-05-16,15.7,8.718,19.615,19.276,0.339,31.773,11.931,28.845,1.785,4.016,3.947,0.069,6.506,2.443,5.907,20.477,50.406,26.208,0.178,2.65,NA
Rwdd1,MUEC,M02339247,WT,WT,Male,2016-05-16,15.7,7.096,22.737,22.458,0.279,36.895,14.325,20.071,1.536,4.921,4.861,0.06,7.986,3.1,4.344,21.644,52.191,23.98,0.16,1.947,NA
4932431P20Rik,DABT,M02340524,4932431P20Rik:Hom,Hom,Female,2016-05-16,16,16.539,10.958,10.442,0.516,36.453,15.159,22.029,3.857,2.556,2.435,0.12,8.501,3.535,5.137,23.321,45.121,27.473,0.432,3.553,NA
Med23,DABC,M02342864,Med23:Het,Het,Female,2016-05-16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josd1,DAAF,M02340215,josd1:Hom,Hom,Male,2016-05-16,16.1,14.13,28.51,28.1,0.41,21.49,6.641,29.618,1.77,3.572,3.521,0.051,2.693,0.832,3.711,12.53,60.097,24.282,0.145,2.878,NA
Unk,MGLC,M02339355,WT,WT,Female,2016-05-16,15.9,9.374,13.921,13.587,0.334,42.632,16.272,19.481,2.716,4.033,3.936,0.097,12.35,4.714,5.643,28.968,41.641,26.241,0.261,2.83,NA
Prkab1,MUCJ,M02340378,WT,WT,Male,2016-05-16,16,8.741,22.075,21.794,0.281,37.376,13.598,20.238,1.947,4.917,4.854,0.063,8.325,3.029,4.508,22.274,47.741,27.34,0.195,2.37,NA
4930590J08Rik,MGRE,M02344990,WT,WT,Female,2016-05-16,15.7,8.747,15.41,15.034,0.375,36.445,14.079,27.041,2.996,5.277,5.149,0.129,12.482,4.822,9.261,34.248,38.247,22.845,0.299,4.287,NA
4930590J08Rik,MGRE,M02345085,WT,WT,Female,2016-05-16,15.7,12.093,15.473,15.073,0.4,41.663,15.703,17.107,3.188,4.079,3.973,0.106,10.983,4.139,4.51,26.361,43.655,26.672,0.255,2.995,NA
Vamp3,PMBC,M02348582,Vamp3(b):Hom,Hom,Female,2016-05-18,15.4,6.867,15.705,14.274,1.431,36.943,16.898,23.611,2.391,5.468,4.97,0.498,12.864,5.884,8.221,34.82,38.656,22.103,0.218,4.162,NA
Crls1,MHDD,M02345221,WT,WT,Male,2016-05-18,15.9,7.801,15.143,14.418,0.725,44.816,17.308,17.113,2.459,4.773,4.545,0.228,14.127,5.456,5.394,31.522,43.393,22.774,0.297,1.948,NA
Kif18b,MGSX,M02350948,Kif18b:Het,Het,Female,2016-05-18,15.6,9.255,13.917,12.788,1.129,44.288,16.504,17.652,2.638,3.966,3.644,0.322,12.622,4.704,5.031,28.499,42.488,25.694,0.352,2.924,NA
Crls1,MHDD,M02345220,WT,WT,Male,2016-05-18,15.9,11.126,15.881,15.105,0.776,35.063,14.646,25.107,2.476,3.534,3.362,0.173,7.804,3.26,5.588,22.256,50.89,24.119,0.179,2.496,NA
Crls1,MHDD,M02345224,WT,WT,Female,2016-05-18,15.9,10.423,16.951,15.382,1.568,39.782,15.472,17.592,2.989,4.861,4.411,0.45,11.408,4.437,5.045,28.676,44.001,23.841,0.293,3.181,NA
Tmem18,PMBA,M02350129,Tmem18(b):Hom,Hom,Female,2016-05-18,15.7,6.813,19.695,18.45,1.245,33.043,15.204,25.294,2.325,6.722,6.297,0.425,11.277,5.189,8.632,34.128,39.641,22.404,0.287,3.503,NA
Unk,MGLC,M02339350,Unk:Hom,Hom,Male,2016-05-18,16.1,11.348,19.798,18.617,1.181,37.315,12.945,20.611,3.043,5.309,4.992,0.317,10.006,3.471,5.527,26.815,44.993,25.548,0.16,2.477,NA
Hao2,DABX,M02349942,Hao2:Hom,Hom,Male,2016-05-18,16,8.774,20.519,19.547,0.971,35.908,14.355,22.011,2.172,5.079,4.838,0.24,8.888,3.553,5.448,24.752,47.417,25.082,0.198,2.514,NA
Rbm33,MUFQ,M02341338,WT,WT,Male,2016-05-18,16.1,10.831,17.36,16.574,0.786,38.224,15.252,19.582,2.27,3.638,3.473,0.165,8.01,3.196,4.104,20.956,52.881,23.618,0.197,2.265,NA
Dctn4,DABL,M02345976,Dctn4:Het,Het,Female,2016-05-18,16,11.964,17.39,15.779,1.611,34.35,13.458,24.51,3.235,4.702,4.266,0.436,9.288,3.639,6.627,27.038,42.745,25.073,0.278,4.855,NA
Rnf125,MGQZ,M02346655,Rnf125:Hom,Hom,Female,2016-05-18,15.9,9.458,16.075,13.964,2.111,37.301,15.329,23.812,2.521,4.285,3.722,0.563,9.942,4.086,6.347,26.653,43.793,26.214,0.279,3.073,NA
4930590J08Rik,MGRE,M02345086,4930590J08Rik:Hom,Hom,Female,2016-05-18,16,9.809,19.196,17.447,1.749,31.933,12.769,26.747,2.484,4.862,4.419,0.443,8.088,3.234,6.775,25.328,45.964,24.73,0.259,3.694,NA
4930590J08Rik,MGRE,M02344988,4930590J08Rik:Hom,Hom,Female,2016-05-18,16,8.582,22.476,20.856,1.62,34.978,14.932,20.732,2.938,7.696,7.141,0.555,11.976,5.113,7.099,34.24,38.21,24.13,0.252,3.113,NA
Rbm33,MUFQ,M02341340,WT,WT,Female,2016-05-18,16.1,12.789,13.092,11.652,1.44,24.071,9.414,41.602,2.911,2.98,2.652,0.328,5.479,2.143,9.469,22.761,47.141,24.041,0.279,5.732,NA
Gtpbp3,MGXY,M02344739,WT,WT,Female,2016-05-23,15.7,9.699,14.428,13.821,0.607,43.428,15.556,18.716,4.149,6.171,5.912,0.26,18.575,6.654,8.005,42.773,37.32,14.884,0.155,4.887,NA
Gtpbp3,MGXY,M02344738,WT,WT,Female,2016-05-23,15.7,9.2,12.104,11.578,0.526,43.889,17.091,19.489,3.023,3.977,3.804,0.173,14.421,5.616,6.404,32.858,45.28,18.501,0.115,3.253,NA
Gtpbp3,MGXY,M02344736,WT,WT,Female,2016-05-23,15.7,9.411,17.349,16.589,0.761,42.014,14.4,18.745,3.052,5.626,5.379,0.247,13.624,4.669,6.078,32.427,45.747,18.571,0.137,3.114,NA
Raph1,MUFZ,M02348779,Raph1(b):Hom,Hom,Male,2016-05-23,15.7,6.17,12.072,11.749,0.323,45.682,14.639,22.157,1.778,3.479,3.386,0.093,13.166,4.219,6.386,28.822,50.107,18.128,0.088,2.834,NA
Macrod1,DAAU,M02348489,Macrod1:Hom,Hom,Female,2016-05-23,16.1,8.181,7.465,6.877,0.589,42.725,15.495,25.559,1.762,1.607,1.481,0.127,9.199,3.336,5.503,21.532,54.781,19.611,0.108,3.971,NA
Gtpbp3,MGXY,M02344815,WT,WT,Male,2016-05-23,16,6.196,12.797,12.398,0.4,41.372,13.175,27.199,1.38,2.85,2.761,0.089,9.213,2.934,6.057,22.268,53.394,21.363,0.146,2.827,NA
Hao2,DABX,M02355916,Hao2:Hom,Hom,Female,2016-05-23,15.6,8.584,7.783,7.221,0.562,40.266,15.886,28.57,2.97,2.692,2.498,0.194,13.93,5.496,9.884,34.596,41.418,19.599,0.139,4.261,NA
Gtpbp3,MGXY,M02344819,WT,WT,Male,2016-05-23,16,6.566,13.072,12.664,0.408,40.866,13.465,26.286,1.538,3.062,2.966,0.096,9.571,3.154,6.156,23.421,52.994,20.743,0.111,2.717,NA
Med23,DABC,M02351093,Med23:Het,Het,Female,2016-05-23,16,8.321,12.819,12.023,0.796,42.345,14.747,21.949,2.507,3.862,3.622,0.24,12.756,4.442,6.612,30.125,43.697,21.554,0.128,4.52,NA
Dnah17,MGXE,M02342804,Dnah17:Hom,Hom,Male,2016-05-23,15.9,6.531,14.137,13.733,0.404,41.165,13.977,24.859,1.814,3.926,3.814,0.112,11.432,3.882,6.904,27.771,49.979,19.689,0.076,2.481,NA
Rnf125,MGQZ,M02352091,Rnf125:Hom,Hom,Male,2016-05-23,16.1,6.349,10.693,10.195,0.498,45.302,14.185,24.694,1.705,2.872,2.738,0.134,12.167,3.81,6.632,26.857,48.882,21.838,0.111,2.296,NA
Scaf11,DABF,M02348857,Scaf11:Hom,Hom,Male,2016-05-23,16,9.74,15.836,15.477,0.359,42.815,14.744,18.872,2.807,4.564,4.461,0.104,12.34,4.249,5.439,28.821,49.413,18.335,0.064,3.308,NA
Gtpbp3,MGXY,M02344733,WT,WT,Male,2016-05-23,15.7,6.353,13.425,13.135,0.29,47.172,14.887,19.447,1.984,4.192,4.101,0.091,14.73,4.649,6.072,31.226,47.836,18.446,0.114,2.367,NA
Klk6,DAAW,M02351911,Klk6:Hom,Hom,Female,2016-05-26,15.7,11.42,20.586,20.185,0.401,35.648,12.744,21.852,2.852,5.141,5.041,0.1,8.903,3.183,5.457,24.973,42.657,27.594,0.271,4.537,NA
Macrod1,DAAU,M02354181,Macrod1:Hom,Hom,Female,2016-05-26,15.6,18.086,27.537,26.932,0.605,12.811,5.888,37.324,3.407,5.188,5.074,0.114,2.414,1.109,7.032,18.84,42.844,33.735,0.164,4.436,NA
Klk6,DAAW,M02351915,Klk6:Hom,Hom,Female,2016-05-26,15.7,7.242,16.639,16.227,0.411,18.614,10.022,48.787,1.811,4.162,4.059,0.103,4.656,2.507,12.203,25.012,39.48,31.23,0.159,4.131,NA
Chil4,PMDN,M02352907,Chil4(b):Hom,Hom,Male,2016-05-26,15.6,5.29,19.889,19.295,0.595,31.296,13.838,29.324,1.268,4.767,4.625,0.143,7.501,3.317,7.028,23.968,45.167,28.296,0.112,2.514,NA
Slc16a4,MELU,M02352361,Slc16a4:Hom,Hom,Female,2016-05-26,15.7,11.156,19.763,19.424,0.339,29.19,12.361,29.542,2.735,4.844,4.761,0.083,7.155,3.03,7.241,24.512,43.32,29.002,0.211,2.997,NA
Taf11,MHCY,M02345101,WT,WT,Female,2016-05-26,16,11.23,24.404,23.956,0.448,25.265,8.57,32.216,2.959,6.43,6.312,0.118,6.656,2.258,8.488,26.347,39.971,28.066,0.256,5.368,NA
Taf11,MHCY,M02345100,WT,WT,Female,2016-05-26,16,12.703,24.967,24.514,0.453,28.452,9.525,26.309,3.054,6.003,5.894,0.109,6.841,2.29,6.326,24.043,44.179,27.678,0.26,3.839,NA
Taf11,MHCY,M02345106,WT,WT,Female,2016-05-26,16,11.545,15.989,15.606,0.382,32.259,11.273,29.535,3.103,4.297,4.195,0.103,8.67,3.03,7.938,26.878,40.499,27.307,0.262,5.063,NA
Ccdc6,DACB,M02354519,Ccdc6:Het,Het,Male,2016-05-26,15.6,6.439,14.439,14.057,0.382,27.642,13.621,37.459,1.47,3.296,3.208,0.087,6.309,3.109,8.55,22.824,45.579,29.159,0.109,2.356,NA
Sfpq,MHDC,M02350231,WT,WT,Male,2016-05-26,16.4,8.554,12.682,12.359,0.323,33.333,14.299,31.122,1.678,2.487,2.424,0.063,6.537,2.804,6.104,19.612,51.231,26.397,0.166,2.597,NA
Ccdc6,DACB,M02354523,Ccdc6:Het,Het,Female,2016-05-26,15.6,10.097,10.587,10.165,0.422,22.657,11.005,45.016,2.632,2.76,2.65,0.11,5.907,2.869,11.736,26.071,39.228,28.344,0.298,6.112,NA
4932431P20Rik,DABT,M02355803,4932431P20Rik:Hom,Hom,Female,2016-05-26,15.7,8.653,12.115,11.775,0.34,33.424,12.667,32.439,2.758,3.861,3.753,0.108,10.652,4.037,10.338,31.869,35.724,27.277,0.214,4.982,NA
Sfpq,MHDC,M02350233,WT,WT,Male,2016-05-26,16.4,6.105,28.544,27.958,0.585,26.745,11.939,26.911,1.192,5.573,5.459,0.114,5.222,2.331,5.254,19.526,49.597,28.448,0.125,2.289,NA
Klk6,DAAW,M02351933,Klk6:Hom,Hom,Male,2016-05-26,15.7,7.1,13.982,13.725,0.257,36.106,15.839,27.332,1.881,3.704,3.636,0.068,9.565,4.196,7.241,26.492,45.982,24.819,0.112,2.596,NA
Sfpq,MHDC,M02350236,WT,WT,Male,2016-05-26,16.4,10.167,18.403,17.977,0.425,33.667,13.936,23.052,3.311,5.993,5.854,0.139,10.964,4.538,7.507,32.565,35.715,28.005,0.304,3.454,NA
Ap2a2,DABV,M02355746,Ap2a2:Het,Het,Female,2016-05-31,16.3,10.508,29.752,27.878,1.874,30.186,12.955,16.415,2.62,7.418,6.951,0.467,7.527,3.23,4.093,24.934,44.004,27.16,0.419,3.45,NA
9330182L06Rik,MGVG,M02350560,9330182L06Rik:Hom,Hom,Female,2016-05-31,16.3,7.494,28.639,27.402,1.237,37.023,15.98,11.47,1.949,7.447,7.125,0.322,9.627,4.155,2.983,26.003,43.849,27.254,0.345,2.484,NA
Dctn4,DABL,M02356775,Dctn4:Het,Het,Female,2016-05-31,16.1,10.672,28.136,26.349,1.787,32.02,13.138,15.402,2.158,5.689,5.328,0.361,6.475,2.657,3.114,20.221,49.039,27.615,0.352,2.747,NA
Ppp1cc,DADC,M02355078,WT,WT,Male,2016-05-31,15.9,7.702,25.965,24.643,1.322,34.437,15.692,16.375,1.62,5.46,5.182,0.278,7.242,3.3,3.444,21.03,50.811,25.407,0.248,2.321,NA
Dctn4,DABL,M02356773,Dctn4:Het,Het,Male,2016-05-31,16.1,6.308,27.786,26.842,0.944,31.998,15.085,19.508,1.501,6.613,6.389,0.225,7.616,3.59,4.643,23.801,46.57,27.175,0.232,2.156,NA
Ppp1cc,DADC,M02355077,WT,WT,Male,2016-05-31,15.9,7.839,26.438,25.318,1.119,31.757,13.69,20.308,1.629,5.495,5.262,0.233,6.601,2.845,4.221,20.785,50.804,25.304,0.234,2.659,NA
Dctn4,DABL,M02356772,Dctn4:Het,Het,Male,2016-05-31,16.1,5.571,27.676,26.802,0.874,31.738,14.767,20.893,1.377,6.841,6.625,0.216,7.845,3.65,5.164,24.717,46.248,26.172,0.25,2.557,NA
Gpbp1l1,MGXA,M02357098,Gpbp1l1:Hom,Hom,Female,2016-05-31,16.3,10.812,30.396,28.693,1.703,30.785,12.447,13.332,2.4,6.747,6.369,0.378,6.834,2.763,2.959,22.198,45.792,28.832,0.43,2.673,NA
Klk6,DAAW,M02351919,Klk6:Hom,Hom,Male,2016-05-31,16.3,7.855,29.467,28.432,1.035,31.046,13.913,17.923,1.541,5.779,5.576,0.203,6.089,2.729,3.515,19.613,52.015,25.802,0.257,2.23,NA
Fam71b,MGYH,M02357391,WT,WT,Male,2016-05-31,16,6.089,41.879,40.834,1.045,27.883,11.877,13.358,1.811,12.453,12.142,0.311,8.291,3.532,3.972,29.736,40.95,26.206,0.276,2.753,NA
Gtpbp3,MGXY,M02357774,WT,WT,Female,2016-05-31,15.9,9.632,29.284,27.626,1.658,31.867,12.486,15.743,1.961,5.962,5.625,0.338,6.488,2.542,3.205,20.361,47.888,28.105,0.456,3.138,NA
Fam160a1,MUGP,M02354413,Fam160a1(b):Het,Het,Female,2016-05-31,16,12.414,39.025,36.857,2.168,28.808,8.674,11.179,2.132,6.702,6.33,0.372,4.948,1.49,1.92,17.174,50.878,29.121,0.385,2.437,NA
Gtpbp3,MGXY,M02357772,WT,WT,Female,2016-05-31,15.9,10.094,24.07,22.606,1.463,34.901,13.906,15.963,2.208,5.264,4.944,0.32,7.633,3.041,3.491,21.871,43.601,30.217,0.59,3.696,NA
Herc1,DABD,M02357749,Herc1:Hom,Hom,Male,2016-05-31,15.9,9.316,27.135,26.209,0.926,31.629,13.985,17.368,1.687,4.915,4.747,0.168,5.729,2.533,3.146,18.112,50.68,28.793,0.316,2.028,NA
Smg9,PMDC,M02356890,WT,WT,Female,2016-05-31,16,10.343,30.311,28.712,1.599,31.002,12.966,14.078,2.335,6.842,6.481,0.361,6.998,2.927,3.178,22.572,45.207,27.697,0.395,4.052,NA
Mkrn2,DABU,M02352161,Mkrn2:Hom,Hom,Male,2016-06-02,16,11.655,32.063,31.519,0.544,23.8,10.456,21.4,1.707,4.695,4.615,0.08,3.485,1.531,3.134,14.643,56.871,26.274,0.207,1.967,NA
Plet1,DABR,M02362439,Plet1:Hom,Hom,Male,2016-06-02,15.9,7.872,24.121,23.719,0.402,37.877,14.229,16.555,1.9,5.822,5.725,0.097,9.142,3.434,3.996,24.136,49.091,24.422,0.21,2.112,NA
Tmem37,MHCC,M02352971,Tmem37:Hom,Hom,Female,2016-06-02,15.9,11.16,30.083,29.428,0.655,25.39,10.424,22.144,2.568,6.922,6.771,0.151,5.842,2.398,5.095,23.009,45.317,27.827,0.377,3.46,NA
Cfap53,DAAP,M02353099,Cfap53:Het,Het,Male,2016-06-02,15.7,12.182,34.063,33.653,0.411,24.475,11.338,18.436,2.195,6.139,6.065,0.074,4.411,2.043,3.322,18.021,50.653,29.019,0.27,1.99,NA
Sik3,MGLW,M02357611,Sik3:Hom,Hom,Male,2016-06-02,15.7,10.014,43.882,43.393,0.488,17.688,9.157,20.259,1.839,8.057,7.967,0.09,3.248,1.681,3.72,18.361,52.527,27.696,0.214,1.218,NA
