Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,HFA-_%_of_B220+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_B220+,HFB-_%_of_B220+,HFC-_%_of_B220+,HFD-_%_of_B220+,HFE-_%_of_B220+,HFF-_%_of_B220+,HFA-_%_of_CD45+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_CD45+,HFB-_%_of_CD45+,HFC-_%_of_CD45+,HFD-_%_of_CD45+,HFE-_%_of_CD45+,HFF-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+,Granulocyte_precursors_-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,NK_cell_precursors_-_%_of_CD45+
Myh7b,MGXX,M02075105,WT,WT,Female,2015-06-22,16.1,10.435,30.418,10.511,19.907,30.394,12.427,16.173,3.096,9.026,3.119,5.907,9.019,3.687,4.799,29.673,40.243,26.156,0.256,3.563,NA
Ldlrad4,MUES,M02073401,Ldlrad4(b):Hom,Hom,Female,2015-06-22,16,8.203,16.818,4.815,12.004,36.991,14.822,21.435,2.013,4.128,1.182,2.946,9.079,3.638,5.261,24.543,46.381,25.089,0.222,3.669,NA
Clust5N1 KO:Hom,MOEA,M02075559,Clust5N1 KO:Hom,Hom,Female,2015-06-22,15.9,13.949,17.875,6.077,11.798,23.831,12.212,31.374,3.289,4.214,1.433,2.782,5.619,2.879,7.397,23.577,42.475,28.865,0.27,4.694,NA
Cxcr2,MFFS,M02081085,Cxcr2:Het,Het,Female,2015-06-22,16,12.645,14.068,4.771,9.297,33.921,13.707,23.93,3.428,3.814,1.293,2.52,9.196,3.716,6.487,27.109,44.616,23.764,0.318,4.089,NA
Vwa3a,MUHQ,M02080609,Vwa3a(b):Hom,Hom,Female,2015-06-22,15.6,9.753,21.59,6.793,14.797,39.806,14.777,12.56,3.207,7.1,2.234,4.866,13.091,4.86,4.13,32.886,39.967,23.585,0.249,3.21,NA
4933434E20Rik,MERZ,M02076998,4933434E20Rik:Het,Het,Male,2015-06-22,15.7,10.138,17.555,9.696,7.858,31.316,13.754,26.72,2.095,3.627,2.003,1.624,6.47,2.842,5.521,20.661,52.575,23.886,0.135,2.637,NA
ENSMUSG00000065551,MOAD,M02075332,mir-210:Hom,Hom,Female,2015-06-22,15.7,14.069,18.973,5.687,13.286,32.637,13.52,17.573,3.953,5.331,1.598,3.733,9.171,3.799,4.938,28.099,40.069,27.068,0.273,4.382,NA
Nmrk1,MGEW,M02076017,Nmrk1:Hom,Hom,Male,2015-06-22,15.7,8.992,26.005,15.628,10.377,29.904,11.943,22.855,2.54,7.346,4.415,2.931,8.447,3.374,6.456,28.248,43.776,24.944,0.224,2.707,NA
Cfap61,MGMN,M02077666,Cfap61:Hom,Hom,Female,2015-06-22,16,11.256,21.66,9.206,12.454,30.958,12.608,21.402,3.56,6.85,2.911,3.939,9.791,3.987,6.768,31.625,39.205,24.626,0.285,4.131,NA
Tmem30a,MGNA,M02079387,Tmem30a:Het,Het,Female,2015-06-24,15.9,12.96,8.66,2.988,5.672,29.347,15.47,32.297,3.037,2.029,0.7,1.329,6.876,3.625,7.567,23.431,44.722,26.97,0.236,4.557,NA
Atp5e,PMAF,M02081423,Atp5e(b):Het,Het,Male,2015-06-24,15.7,9.464,19.022,10.045,8.977,37.455,15.585,18.068,1.786,3.59,1.896,1.694,7.068,2.941,3.41,18.871,53.098,25.862,0.158,1.952,NA
Tmem30a,MGNA,M02079390,Tmem30a:Het,Het,Female,2015-06-24,15.9,13.665,16.886,5.352,11.534,33.984,15.419,18.997,4.006,4.95,1.569,3.381,9.962,4.52,5.569,29.314,39.788,26.714,0.245,3.841,NA
Zfp266,MUFY,M02080042,Zfp266(b):Hom,Hom,Female,2015-06-24,15.6,11.515,18.607,5.075,13.532,27.815,11.588,29.281,2.908,4.698,1.281,3.417,7.024,2.926,7.394,25.251,44.618,26.027,0.187,3.846,NA
Galntl5,MUGG,M02079011,Galntl5(b):Hom,Hom,Male,2015-06-24,15.9,11.316,34.553,20.4,14.153,24.384,11.27,17.439,3.223,9.841,5.81,4.031,6.945,3.21,4.967,28.481,43.96,25.007,0.155,2.269,NA
Nacc2,MUEZ,M02080556,Nacc2(b):Hom,Hom,Male,2015-06-24,15.6,8.788,9.362,5.04,4.323,38.545,15.825,26.605,2.012,2.144,1.154,0.99,8.827,3.624,6.093,22.901,47.234,26.759,0.165,2.656,NA
Nacc2,MUEZ,M02080557,Nacc2(b):Hom,Hom,Male,2015-06-24,15.6,11.966,25.244,15.204,10.039,31.465,12.976,18.268,2.397,5.057,3.046,2.011,6.304,2.6,3.66,20.034,52.143,25.847,0.119,1.758,NA
Gnb3,PMAM,M02082382,Gnb3(b):Hom,Hom,Male,2015-06-24,15.6,8.796,20.925,12.765,8.16,40.388,17.401,12.43,2.133,5.074,3.095,1.979,9.794,4.219,3.014,24.249,50.624,22.655,0.176,2.134,NA
Atp5e,PMAF,M02081419,Atp5e(b):Het,Het,Male,2015-06-24,15.7,10.843,20.093,11.559,8.533,32.308,12.538,23.825,2.248,4.166,2.396,1.769,6.698,2.599,4.939,20.732,47.965,28.335,0.157,2.733,NA
Atxn10,MUFW,M02080776,Atxn10(b):Het,Het,Male,2015-06-24,15.6,8.069,26.764,16.815,9.949,29.14,13.266,22.55,1.838,6.096,3.83,2.266,6.638,3.022,5.136,22.778,49.112,25.117,0.077,2.832,NA
Fam163a,MUGT,M02080170,Fam163a(b):Hom,Hom,Female,2015-06-24,15.6,12.666,12.615,4.437,8.178,32.379,12.672,28.005,2.98,2.968,1.044,1.924,7.618,2.981,6.589,23.528,46.361,26.005,0.253,3.78,NA
Fam163a,MUGT,M02080169,Fam163a(b):Hom,Hom,Female,2015-06-24,15.6,11.889,15.439,5.253,10.186,31.095,14.387,26.139,3.001,3.897,1.326,2.571,7.848,3.631,6.597,25.24,42.941,27.985,0.227,3.526,NA
Tbc1d22a,MUEY,M02080337,Tbc1d22a(b):Hom,Hom,Male,2015-06-24,15.6,11.263,13.925,7.369,6.556,30.892,14.817,28.237,2.309,2.854,1.511,1.344,6.332,3.037,5.788,20.498,47.74,28.423,0.109,3.138,NA
Orc1,MGNP,M02076410,Orc1:Het,Het,Female,2015-06-24,15.9,16.36,14.62,5.014,9.606,23.392,10.426,32.927,3.729,3.333,1.143,2.19,5.332,2.377,7.506,22.796,48.356,23.402,0.302,5.04,NA
Lmna,MMNA,M02075203,Lmna:Het,Het,Male,2015-06-24,15.9,9.024,24.907,14.997,9.91,31.282,14.031,20.222,2.269,6.263,3.771,2.492,7.865,3.528,5.085,25.144,46.957,25.54,0.142,2.105,NA
Gnb3,PMAM,M02082390,Gnb3(b):Hom,Hom,Female,2015-06-24,15.6,9.883,15.989,4.553,11.436,41.116,15.958,15.993,2.934,4.747,1.352,3.395,12.208,4.738,4.749,29.691,43.912,22.804,0.229,3.081,NA
Homez,MGLE,M02084241,Homez:Hom,Hom,Female,2015-06-29,16,9.114,31.835,13.241,18.594,28.24,11.256,18.032,2.624,9.166,3.812,5.354,8.131,3.241,5.192,28.794,43.575,23.367,0.169,4.071,NA
Clust5N1 KO:Hom,MOEA,M02085100,Clust5N1 KO:Hom,Hom,Male,2015-06-29,16.1,9.573,28.545,17.435,11.11,20.753,9.698,30.409,2.265,6.754,4.125,2.629,4.91,2.295,7.195,23.661,48.159,25.581,0.123,2.51,NA
Sgsm1,MUCV,M02083725,Sgsm1(b):Hom,Hom,Female,2015-06-29,15.9,19.595,10.763,2.796,7.967,17.031,7.867,41.078,2.864,1.573,0.409,1.165,2.49,1.15,6.005,14.618,48.4,31.514,0.226,5.238,NA
Adamts3,MUCB,M02083988,WT,WT,Female,2015-06-29,15.7,13.034,32.848,13.125,19.723,29.432,11.256,12.656,3.472,8.75,3.496,5.254,7.84,2.998,3.371,26.637,47.461,22.259,0.22,3.409,NA
Galntl5,MUGG,M02079026,Galntl5(b):Hom,Hom,Male,2015-06-29,16.1,11.166,26.473,19.525,6.948,27.143,9.331,23.203,1.931,4.578,3.377,1.202,4.694,1.614,4.013,17.294,58.477,21.74,0.085,2.187,NA
1700029H14Rik,MUGN,M02086599,1700029H14Rik(b):Hom,Hom,Male,2015-06-29,15.6,9.69,37.973,24.781,13.192,21.815,9.554,17.825,1.863,7.301,4.764,2.536,4.194,1.837,3.427,19.226,53.822,24.665,0.125,2.02,NA
Adamts3,MUCB,M02083990,WT,WT,Male,2015-06-29,15.7,12.547,33.46,22.122,11.338,22.222,9.691,20.557,2.174,5.799,3.834,1.965,3.851,1.679,3.563,17.33,56.229,23.961,0.126,2.347,NA
