Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Granulocyte_precursors_-_%_of_CD45+,HFA-_%_of_B220+,HFA-_%_of_CD45+,HFB-_%_of_B220+,HFB-_%_of_CD45+,HFC-_%_of_B220+,HFC-_%_of_CD45+,HFD-_%_of_B220+,HFD-_%_of_CD45+,HFE-_%_of_B220+,HFE-_%_of_CD45+,HFF-_%_of_B220+,HFF-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+
Rida,MGWT,M02237038,Hrsp12:Hom,Hom,Male,2016-01-06,50.41757466587728,6.031645044397113,1.3733356846838902,17.36881414068767,3.9546777180142842,7.831042018201432,1.7830375250355852,35.44715222262178,8.070905815813672,12.245857652623718,2.788239888142895,16.306602860225166,3.712824517868165,24.719412498267978,0.04818169221660977,2.0459898975902857,22.76884124604784
Fam212b,MFUL,M02237492,Fam212b:Hom,Hom,Female,2016-01-06,39.372016003484106,11.260029979719603,2.905262884202247,12.139267134417473,3.1321197466223354,8.30740549460239,2.1434398390551315,34.67822187511809,8.94752066250004,11.100054165039616,2.863986635595727,18.2221270485092,4.7015922231647505,31.174618032195472,0.16965513206774505,3.4821553351988896,25.801555497053783
Capn11,PMAU,M02237838,Capn11(b):Hom,Hom,Male,2016-01-06,51.604925583098336,10.262999924964358,1.7571638713490112,13.13686501088017,2.249208296665532,6.680048022810834,1.1437142288199285,29.07068357469798,4.977292727891724,11.27973287311473,1.9312422515850125,23.649358445261498,4.049088818515259,28.742845763985684,0.15480771083718212,2.3760735368744257,17.121347405204364
Tmem18,PMBA,M02237976,Tmem18(b):Hom,Hom,Female,2016-01-06,42.947083829397414,9.8281005824691,2.37355941275162,13.571530046881659,3.277625479909833,9.468674527631766,2.286755346341363,33.7732632476204,8.156494350873702,11.774399772694984,2.843605147858547,18.451484585878674,4.456170808444355,29.782029156559542,0.06724741903719537,3.0528955846579815,24.150744010347868
Pycr2,MGQS,M02238448,Pycr2:Hom,Hom,Female,2016-01-06,45.27327869910305,10.352980915385915,2.706466107192224,13.04613305964429,3.410507296828249,9.84630974497551,2.5740126272317565,38.674600184480276,10.11027601267478,12.429033557221365,3.249185750722551,12.896730022215582,3.37145050145529,25.391671732729254,0.1670951593347439,3.026052580635301,26.14190182819765
ENSMUSG00000065436,MOAS,M02239745,Brd(tm1):Hom,Hom,Female,2016-01-06,39.25832221049067,8.015445822607067,2.2743723064459362,15.384975427100397,4.365466727759295,9.732038380528902,2.761453207695015,34.763632108588816,9.86413530689085,12.74748420313597,3.617082030134603,16.4884156330447,4.678566448194115,29.033607586110723,0.16667662742129344,3.1665238958503497,28.37486968012697
Stxbp4,MEKF,M02240065,Stxbp4:Hom,Hom,Male,2016-01-06,55.546188328661,12.12934447866256,1.8668996058993212,11.271447426308843,1.7348555641327752,6.086669599648042,0.9368355476103414,33.72195336559613,5.190346564823467,11.016278046634403,1.6955809260688797,19.260888693356797,2.964558024891995,26.707431032381262,0.08125787185633608,2.2735275396470698,15.391595227454328
Raph1,MUFZ,M02240079,Raph1(b):Hom,Hom,Female,2016-01-06,41.741630568664625,7.618445988629185,2.0863030571432524,15.781427668982944,4.32172661472245,10.045483259633608,2.7509445451651744,36.98673404927353,10.128776450724498,12.945041061276058,3.544985260943576,14.068224889450413,3.8525679172952105,28.27130935411102,0.27194597063260306,2.330224061336618,27.384890045255133
4930590J08Rik,MGRE,M02240114,WT,WT,Female,2016-01-06,41.47032833924086,10.693849183366153,2.291523942850902,12.707054326421868,2.7229221894577984,8.80806208733928,1.887429382738113,30.253677748175605,6.4828880350281475,10.92320166801807,2.3406705785402955,22.821730568747828,4.890338466426394,33.21518283541337,0.10623616199525412,3.7798230721115185,21.42842959123899
4930590J08Rik,MGRE,M02240160,WT,WT,Female,2016-01-06,36.43975090568986,12.443959985231807,3.3518812303175243,10.95659206385485,2.9512466554590016,8.876738339281633,2.3910212393152275,37.41099527066228,10.07695404067909,10.889783575660612,2.9332512490232756,15.698236607535293,4.228446949068264,33.83704685909123,0.0520919659981531,2.7353017782302937,26.93580849099046
